Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Matthew 15:11,"οὐ  τὸ εἰσερχόμενον εἰς τὸ στόμα κοινοῖ τὸν ἄνθρωπον,",ἀλλὰ,τὸ ἐκπορευόμενον ἐκ τοῦ στόματος τοῦτο κοινοῖ τὸν ἄνθρωπον.,ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
NA28,Matthew 16:12,τότε συνῆκαν ὅτι οὐκ εἶπεν προσέχειν ἀπὸ τῆς ζύμης τῶν ἄρτων,ἀλλʼ,ἀπὸ τῆς διδαχῆς τῶν Φαρισαίων καὶ Σαδδουκαίων.,ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
NA28,Matthew 16:17,"Ἀποκριθεὶς δὲ ὁ Ἰησοῦς εἶπεν αὐτῷ· μακάριος εἶ, Σίμων Βαριωνᾶ, ὅτι σὰρξ καὶ αἷμα οὐκ ἀπεκάλυψέν σοι",ἀλλʼ,ὁ πατήρ μου ὁ ἐν τοῖς οὐρανοῖς.,ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
NA28,Matthew 16:23,"ὀπίσω μου, σατανᾶ· σκάνδαλον εἶ ἐμοῦ, ὅτι οὐ φρονεῖς τὰ τοῦ θεοῦ",ἀλλὰ,τὰ τῶν ἀνθρώπων.,ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
NA28,Matthew 17:12,"λέγω δὲ ὑμῖν ὅτι Ἠλίας ἤδη ἦλθεν, καὶ οὐκ ἐπέγνωσαν αὐτὸν",ἀλλʼ,ἐποίησαν ἐν αὐτῷ ὅσα ἠθέλησαν· οὕτως καὶ ὁ υἱὸς τοῦ ἀνθρώπου μέλλει πάσχειν ὑπʼ αὐτῶν.,ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
NA28,Matthew 18:22,λέγει αὐτῷ ὁ Ἰησοῦς· οὐ λέγω σοι ἕως ἑπτάκις,ἀλλʼ,ἕως ἑβδομηκοντάκις ἑπτά.,ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
NA28,Matthew 18:30,ὁ δὲ οὐκ ἤθελεν,ἀλλʼ,ἀπελθὼν ἔβαλεν αὐτὸν εἰς φυλακὴν ἕως  ἀποδῷ τὸ ὀφειλόμενον.,ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
NA28,Matthew 19:6,ὥστε οὐκέτι εἰσὶν δύο,ἀλλὰ,σὰρξ μία. ὃ οὖν ὁ θεὸς συνέζευξεν  ἄνθρωπος μὴ χωριζέτω.,ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
NA28,Matthew 19:11,ὁ δὲ εἶπεν αὐτοῖς· οὐ πάντες χωροῦσιν τὸν λόγον [τοῦτον],ἀλλʼ,οἷς δέδοται.,ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
NA28,Matthew 20:23,"καθίσαι ἐκ δεξιῶν μου καὶ ἐξ εὐωνύμων  οὐκ ἔστιν ἐμὸν [τοῦτο] δοῦναι,",ἀλλʼ,οἷς ἡτοίμασται ὑπὸ τοῦ πατρός μου.,ἀλλά,Louw Nida 89.125,αλλος,conjunction,—
