Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
εὐαγγελίου,εὐαγγέλιον,—,—,—,—,neuter,genitive,singular,Colossians 1:23,εἴ γε ἐπιμένετε τῇ πίστει τεθεμελιωμένοι καὶ ἑδραῖοι καὶ μὴ μετακινούμενοι ἀπὸ τῆς ἐλπίδος τοῦ,"οὗ ἠκούσατε, τοῦ κηρυχθέντος ἐν πάσῃ  κτίσει τῇ ὑπὸ τὸν οὐρανόν, οὗ ἐγενόμην ἐγὼ Παῦλος διάκονος."
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,nominative,singular,1 Thessalonians 1:5,ὅτι τὸ,ἡμῶν οὐκ ἐγενήθη εἰς ὑμᾶς ἐν λόγῳ μόνον ἀλλὰ καὶ ἐν δυνάμει καὶ
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,1 Thessalonians 2:2,"ἀλλὰ προπαθόντες καὶ ὑβρισθέντες, καθὼς οἴδατε, ἐν Φιλίπποις ἐπαρρησιασάμεθα ἐν τῷ θεῷ ἡμῶν λαλῆσαι πρὸς ὑμᾶς τὸ",τοῦ θεοῦ ἐν πολλῷ ἀγῶνι.
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,1 Thessalonians 2:4,ἀλλὰ καθὼς δεδοκιμάσμεθα ὑπὸ τοῦ θεοῦ πιστευθῆναι τὸ,", οὕτως λαλοῦμεν, οὐχ ὡς ἀνθρώποις ἀρέσκοντες ἀλλὰ  θεῷ τῷ δοκιμάζοντι τὰς καρδίας ἡμῶν."
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,1 Thessalonians 2:8,οὕτως ὁμειρόμενοι ὑμῶν εὐδοκοῦμεν μεταδοῦναι ὑμῖν οὐ μόνον τὸ,"τοῦ θεοῦ ἀλλὰ καὶ τὰς ἑαυτῶν ψυχάς, διότι ἀγαπητοὶ ἡμῖν ἐγενήθητε."
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,1 Thessalonians 2:9,ἡμέρας ἐργαζόμενοι πρὸς τὸ μὴ ἐπιβαρῆσαί τινα ὑμῶν ἐκηρύξαμεν εἰς ὑμᾶς τὸ,τοῦ θεοῦ.
εὐαγγελίῳ,εὐαγγέλιον,—,—,—,—,neuter,dative,singular,1 Thessalonians 3:2,"καὶ ἐπέμψαμεν Τιμόθεον, τὸν ἀδελφὸν ἡμῶν καὶ συνεργὸν τοῦ θεοῦ ἐν τῷ","τοῦ Χριστοῦ, εἰς τὸ στηρίξαι ὑμᾶς καὶ παρακαλέσαι  ὑπὲρ τῆς πίστεως ὑμῶν"
εὐαγγελίῳ,εὐαγγέλιον,—,—,—,—,neuter,dative,singular,2 Thessalonians 1:8,"ἐν πυρὶ φλογός, διδόντος ἐκδίκησιν τοῖς μὴ εἰδόσιν θεὸν καὶ τοῖς μὴ ὑπακούουσιν τῷ","τοῦ κυρίου ἡμῶν Ἰησοῦ,"
εὐαγγελίου,εὐαγγέλιον,—,—,—,—,neuter,genitive,singular,2 Thessalonians 2:14,εἰς ὃ [καὶ] ἐκάλεσεν ὑμᾶς διὰ τοῦ,ἡμῶν εἰς περιποίησιν δόξης τοῦ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ.
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,1 Timothy 1:11,κατὰ τὸ,"τῆς δόξης τοῦ μακαρίου θεοῦ, ὃ ἐπιστεύθην ἐγώ."
εὐαγγελίῳ,εὐαγγέλιον,—,—,—,—,neuter,dative,singular,2 Timothy 1:8,"μὴ οὖν ἐπαισχυνθῇς τὸ μαρτύριον τοῦ κυρίου ἡμῶν μηδὲ ἐμὲ τὸν δέσμιον αὐτοῦ, ἀλλὰ συγκακοπάθησον τῷ","κατὰ δύναμιν θεοῦ,"
εὐαγγελίου,εὐαγγέλιον,—,—,—,—,neuter,genitive,singular,2 Timothy 1:10,"Ἰησοῦ,        καταργήσαντος μὲν τὸν θάνατον           φωτίσαντος δὲ ζωὴν καὶ ἀφθαρσίαν διὰ           τοῦ",*
εὐαγγέλιόν,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,2 Timothy 2:8,"Μνημόνευε Ἰησοῦν Χριστὸν ἐγηγερμένον ἐκ νεκρῶν, ἐκ σπέρματος Δαυίδ, κατὰ τὸ","μου,"
εὐαγγελίου,εὐαγγέλιον,—,—,—,—,neuter,genitive,singular,Philemon 13,"ὃν ἐγὼ ἐβουλόμην πρὸς ἐμαυτὸν κατέχειν, ἵνα ὑπὲρ σοῦ μοι διακονῇ ἐν τοῖς δεσμοῖς τοῦ",","
εὐαγγελίῳ,εὐαγγέλιον,—,—,—,—,neuter,dative,singular,1 Peter 4:17,"δὲ πρῶτον ἀφʼ ἡμῶν, τί τὸ τέλος τῶν ἀπειθούντων τῷ τοῦ θεοῦ",;
εὐαγγέλιον,εὐαγγέλιον,—,—,—,—,neuter,accusative,singular,Revelation 14:6,"Καὶ εἶδον ἄλλον ἄγγελον πετόμενον ἐν μεσουρανήματι, ἔχοντα",αἰώνιον εὐαγγελίσαι ἐπὶ τοὺς καθημένους ἐπὶ τῆς γῆς καὶ ἐπὶ πᾶν ἔθνος καὶ
