Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
πορευθεῖσα,πορεύομαι,aorist,passive,participle,—,singular,Mark 16:10,ἐκείνη,ἀπήγγειλεν τοῖς μετʼ αὐτοῦ γενομένοις πενθοῦσιν καὶ κλαίουσιν·
πορευθεὶς,πορεύομαι,aorist,passive,participle,—,singular,Matthew 17:27,"ἵνα δὲ μὴ σκανδαλίσωμεν αὐτούς,","εἰς  θάλασσαν βάλε ἄγκιστρον καὶ τὸν ἀναβάντα πρῶτον ἰχθὺν ἆρον, καὶ ἀνοίξας τὸ"
πορευθεὶς,πορεύομαι,aorist,passive,participle,—,singular,Matthew 18:12,"ἓν ἐξ αὐτῶν, οὐχὶ ἀφήσει τὰ ἐνενήκοντα ἐννέα  ἐπὶ τὰ ὄρη καὶ",ζητεῖ τὸ πλανώμενον;
πορευθεὶς,πορεύομαι,aorist,passive,participle,—,singular,Matthew 25:16,—,ὁ τὰ πέντε τάλαντα λαβὼν ἠργάσατο ἐν αὐτοῖς καὶ ἐκέρδησεν ἄλλα πέντε·
πορευθεὶς,πορεύομαι,aorist,passive,participle,—,singular,Matthew 26:14,Τότε,"εἷς τῶν δώδεκα, ὁ λεγόμενος Ἰούδας Ἰσκαριώτης, πρὸς τοὺς ἀρχιερεῖς"
πορευθεὶς,πορεύομαι,aorist,passive,participle,—,singular,Luke 14:10,"ἀλλʼ ὅταν κληθῇς,","ἀνάπεσε εἰς τὸν ἔσχατον τόπον, ἵνα ὅταν ἔλθῃ ὁ κεκληκώς σε ἐρεῖ σοι"
πορευθεὶς,πορεύομαι,aorist,passive,participle,—,singular,Luke 15:15,καὶ,"ἐκολλήθη ἑνὶ τῶν πολιτῶν τῆς χώρας ἐκείνης, καὶ ἔπεμψεν αὐτὸν εἰς τοὺς ἀγροὺς αὐτοῦ βόσκειν χοίρους,"
πορευθεὶς,πορεύομαι,aorist,passive,participle,—,singular,1 Peter 3:19,ἐν ᾧ καὶ τοῖς ἐν φυλακῇ  πνεύμασιν,ἐκήρυξεν
πορευθεὶς,πορεύομαι,aorist,passive,participle,—,singular,1 Peter 3:22,ὅς ἐστιν ἐν δεξιᾷ τοῦ θεοῦ,εἰς οὐρανὸν ὑποταγέντων αὐτῷ ἀγγέλων καὶ ἐξουσιῶν καὶ δυνάμεων.
πορευθέντι,πορεύομαι,aorist,passive,participle,—,singular,Acts 27:3,"τῇ τε ἑτέρᾳ κατήχθημεν εἰς Σιδῶνα, φιλανθρώπως τε ὁ Ἰούλιος τῷ Παύλῳ χρησάμενος ἐπέτρεψεν πρὸς τοὺς φίλους",ἐπιμελείας τυχεῖν.
πορευθέντες,πορεύομαι,aorist,passive,participle,—,plural,Matthew 2:8,καὶ πέμψας αὐτοὺς εἰς Βηθλέεμ εἶπεν·,"ἐξετάσατε ἀκριβῶς περὶ τοῦ παιδίου· ἐπὰν δὲ εὕρητε, ἀπαγγείλατέ μοι, ὅπως κἀγὼ ἐλθὼν προσκυνήσω αὐτῷ."
πορευθέντες,πορεύομαι,aorist,passive,participle,—,plural,Matthew 9:13,—,δὲ μάθετε τί ἐστιν· ἔλεος θέλω καὶ οὐ θυσίαν· οὐ γὰρ ἦλθον καλέσαι δικαίους ἀλλʼ ἁμαρτωλούς.
πορευθέντες,πορεύομαι,aorist,passive,participle,—,plural,Matthew 11:4,Καὶ ἀποκριθεὶς ὁ Ἰησοῦς εἶπεν αὐτοῖς·,ἀπαγγείλατε Ἰωάννῃ ἃ ἀκούετε καὶ βλέπετε·
πορευθέντες,πορεύομαι,aorist,passive,participle,—,plural,Matthew 21:6,—,δὲ οἱ μαθηταὶ καὶ ποιήσαντες καθὼς συνέταξεν αὐτοῖς ὁ Ἰησοῦς
πορευθέντες,πορεύομαι,aorist,passive,participle,—,plural,Matthew 22:15,Τότε,οἱ Φαρισαῖοι συμβούλιον ἔλαβον ὅπως αὐτὸν παγιδεύσωσιν ἐν λόγῳ.
πορευθέντες,πορεύομαι,aorist,passive,participle,—,plural,Matthew 27:66,οἱ δὲ,ἠσφαλίσαντο τὸν τάφον σφραγίσαντες τὸν λίθον μετὰ τῆς κουστωδίας.
πορευθέντες,πορεύομαι,aorist,passive,participle,—,plural,Matthew 28:19,—,"οὖν μαθητεύσατε πάντα τὰ ἔθνη, βαπτίζοντες αὐτοὺς εἰς τὸ ὄνομα τοῦ πατρὸς καὶ"
πορευθέντες,πορεύομαι,aorist,passive,participle,—,plural,Mark 16:15,καὶ εἶπεν αὐτοῖς·,εἰς τὸν κόσμον ἅπαντα κηρύξατε τὸ εὐαγγέλιον πάσῃ τῇ κτίσει.
πορευθέντες,πορεύομαι,aorist,passive,participle,—,plural,Luke 7:22,καὶ ἀποκριθεὶς εἶπεν αὐτοῖς·,"ἀπαγγείλατε Ἰωάννῃ ἃ εἴδετε καὶ ἠκούσατε·        τυφλοὶ ἀναβλέπουσιν,  χωλοὶ περιπατοῦσιν,        λεπροὶ καθαρίζονται καὶ"
πορευθέντες,πορεύομαι,aorist,passive,participle,—,plural,Luke 9:12,"Ἡ δὲ ἡμέρα ἤρξατο κλίνειν· προσελθόντες δὲ οἱ δώδεκα εἶπαν αὐτῷ· ἀπόλυσον τὸν ὄχλον, ἵνα","εἰς τὰς κύκλῳ κώμας καὶ  ἀγροὺς καταλύσωσιν καὶ εὕρωσιν ἐπισιτισμόν, ὅτι ὧδε ἐν ἐρήμῳ τόπῳ ἐσμέν."
πορευθέντες,πορεύομαι,aorist,passive,participle,—,plural,Luke 9:13,"οὐκ εἰσὶν ἡμῖν πλεῖον ἢ ἄρτοι πέντε καὶ ἰχθύες δύο, εἰ μήτι",ἡμεῖς ἀγοράσωμεν εἰς πάντα τὸν λαὸν τοῦτον βρώματα.
πορευθέντες,πορεύομαι,aorist,passive,participle,—,plural,Luke 9:52,Καὶ ἀπέστειλεν ἀγγέλους πρὸ προσώπου αὐτοῦ. καὶ,εἰσῆλθον εἰς κώμην Σαμαριτῶν ὡς ἑτοιμάσαι αὐτῷ·
πορευθέντες,πορεύομαι,aorist,passive,participle,—,plural,Luke 13:32,καὶ εἶπεν αὐτοῖς·,εἴπατε τῇ ἀλώπεκι ταύτῃ· ἰδοὺ ἐκβάλλω δαιμόνια καὶ ἰάσεις ἀποτελῶ σήμερον καὶ αὔριον καὶ τῇ τρίτῃ  τελειοῦμαι.
πορευθέντες,πορεύομαι,aorist,passive,participle,—,plural,Luke 17:14,καὶ ἰδὼν εἶπεν αὐτοῖς·,ἐπιδείξατε ἑαυτοὺς τοῖς ἱερεῦσιν. καὶ ἐγένετο ἐν τῷ ὑπάγειν αὐτοὺς ἐκαθαρίσθησαν.
πορευθέντες,πορεύομαι,aorist,passive,participle,—,plural,Luke 22:8,καὶ ἀπέστειλεν Πέτρον καὶ Ἰωάννην εἰπών·,ἑτοιμάσατε ἡμῖν τὸ πάσχα ἵνα φάγωμεν.
πεπορευμένους,πορεύομαι,perfect,either middle or passive,participle,—,plural,1 Peter 4:3,ἀρκετὸς γὰρ  ὁ παρεληλυθὼς χρόνος  τὸ βούλημα τῶν ἐθνῶν κατειργάσθαι,"ἐν ἀσελγείαις, ἐπιθυμίαις, οἰνοφλυγίαις, κώμοις, πότοις καὶ ἀθεμίτοις εἰδωλολατρίαις."
Πορευομένων,πορεύομαι,present,either middle or passive,participle,—,plural,Matthew 28:11,—,δὲ αὐτῶν ἰδού τινες τῆς κουστωδίας ἐλθόντες εἰς τὴν πόλιν ἀπήγγειλαν τοῖς ἀρχιερεῦσιν ἅπαντα τὰ γενόμενα.
