Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
φωνὴ,φωνή,—,—,—,—,feminine,nominative,singular,Revelation 9:9,"καὶ εἶχον θώρακας ὡς θώρακας σιδηροῦς, καὶ ἡ","τῶν πτερύγων αὐτῶν ὡς φωνὴ ἁρμάτων ἵππων πολλῶν τρεχόντων εἰς πόλεμον,"
φωνὴ,φωνή,—,—,—,—,feminine,nominative,singular,Revelation 9:9,"καὶ εἶχον θώρακας ὡς θώρακας σιδηροῦς, καὶ ἡ φωνὴ τῶν πτερύγων αὐτῶν ὡς","ἁρμάτων ἵππων πολλῶν τρεχόντων εἰς πόλεμον,"
φωνὴν,φωνή,—,—,—,—,feminine,accusative,singular,Revelation 9:13,Καὶ ὁ ἕκτος ἄγγελος ἐσάλπισεν· καὶ ἤκουσα,"μίαν ἐκ τῶν [τεσσάρων] κεράτων τοῦ θυσιαστηρίου τοῦ χρυσοῦ τοῦ ἐνώπιον τοῦ θεοῦ,"
φωνῇ,φωνή,—,—,—,—,feminine,dative,singular,Revelation 10:3,καὶ ἔκραξεν,"μεγάλῃ ὥσπερ λέων μυκᾶται. καὶ ὅτε ἔκραξεν, ἐλάλησαν αἱ ἑπτὰ βρονταὶ τὰς ἑαυτῶν φωνάς."
φωνάς,φωνή,—,—,—,—,feminine,accusative,plural,Revelation 10:3,"καὶ ἔκραξεν φωνῇ μεγάλῃ ὥσπερ λέων μυκᾶται. καὶ ὅτε ἔκραξεν, ἐλάλησαν αἱ ἑπτὰ βρονταὶ τὰς ἑαυτῶν",.
φωνὴν,φωνή,—,—,—,—,feminine,accusative,singular,Revelation 10:4,"καὶ ὅτε ἐλάλησαν αἱ ἑπτὰ βρονταί, ἤμελλον γράφειν, καὶ ἤκουσα","ἐκ τοῦ οὐρανοῦ λέγουσαν· σφράγισον ἃ ἐλάλησαν αἱ ἑπτὰ βρονταί, καὶ μὴ αὐτὰ γράψῃς."
φωνῆς,φωνή,—,—,—,—,feminine,genitive,singular,Revelation 10:7,ἀλλʼ ἐν ταῖς ἡμέραις τῆς,"τοῦ ἑβδόμου ἀγγέλου, ὅταν μέλλῃ σαλπίζειν, καὶ ἐτελέσθη τὸ μυστήριον τοῦ θεοῦ, ὡς"
φωνὴ,φωνή,—,—,—,—,feminine,nominative,singular,Revelation 10:8,Καὶ ἡ,ἣν ἤκουσα ἐκ τοῦ οὐρανοῦ πάλιν λαλοῦσαν μετʼ ἐμοῦ καὶ λέγουσαν· ὕπαγε λάβε
φωνῆς,φωνή,—,—,—,—,feminine,genitive,singular,Revelation 11:12,καὶ ἤκουσαν,μεγάλης ἐκ τοῦ οὐρανοῦ λεγούσης αὐτοῖς· ἀνάβατε ὧδε. καὶ ἀνέβησαν εἰς τὸν οὐρανὸν
φωναὶ,φωνή,—,—,—,—,feminine,nominative,plural,Revelation 11:15,Καὶ ὁ ἕβδομος ἄγγελος ἐσάλπισεν· καὶ ἐγένοντο,μεγάλαι ἐν τῷ οὐρανῷ λέγοντες·      ἐγένετο ἡ βασιλεία τοῦ κόσμου τοῦ κυρίου ἡμῶν
φωναὶ,φωνή,—,—,—,—,feminine,nominative,plural,Revelation 11:19,"κιβωτὸς τῆς διαθήκης αὐτοῦ ἐν τῷ ναῷ αὐτοῦ, καὶ ἐγένοντο ἀστραπαὶ καὶ",καὶ βρονταὶ καὶ σεισμὸς καὶ χάλαζα μεγάλη.
φωνὴν,φωνή,—,—,—,—,feminine,accusative,singular,Revelation 12:10,καὶ ἤκουσα,μεγάλην ἐν τῷ οὐρανῷ λέγουσαν·      ἄρτι ἐγένετο ἡ σωτηρία καὶ ἡ δύναμις        καὶ
φωνὴν,φωνή,—,—,—,—,feminine,accusative,singular,Revelation 14:2,καὶ ἤκουσα,"ἐκ τοῦ οὐρανοῦ ὡς φωνὴν ὑδάτων πολλῶν καὶ ὡς φωνὴν βροντῆς μεγάλης, καὶ"
φωνὴν,φωνή,—,—,—,—,feminine,accusative,singular,Revelation 14:2,καὶ ἤκουσα φωνὴν  ἐκ τοῦ οὐρανοῦ ὡς,"ὑδάτων πολλῶν καὶ ὡς φωνὴν βροντῆς μεγάλης, καὶ ἡ φωνὴ ἣν ἤκουσα ὡς"
φωνὴν,φωνή,—,—,—,—,feminine,accusative,singular,Revelation 14:2,καὶ ἤκουσα φωνὴν  ἐκ τοῦ οὐρανοῦ ὡς φωνὴν ὑδάτων πολλῶν καὶ ὡς,"βροντῆς μεγάλης, καὶ ἡ φωνὴ ἣν ἤκουσα ὡς  κιθαρῳδῶν κιθαριζόντων ἐν ταῖς κιθάραις αὐτῶν."
φωνὴ,φωνή,—,—,—,—,feminine,nominative,singular,Revelation 14:2,"καὶ ἤκουσα φωνὴν  ἐκ τοῦ οὐρανοῦ ὡς φωνὴν ὑδάτων πολλῶν καὶ ὡς φωνὴν βροντῆς μεγάλης, καὶ ἡ",ἣν ἤκουσα ὡς  κιθαρῳδῶν κιθαριζόντων ἐν ταῖς κιθάραις αὐτῶν.
