Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
βάλω,βάλλω,aorist,active,subjunctive,first person,singular,John 20:25,ἐὰν μὴ ἴδω ἐν ταῖς χερσὶν αὐτοῦ τὸν τύπον τῶν ἥλων καὶ,τὸν δάκτυλόν μου εἰς τὸν τύπον τῶν ἥλων καὶ βάλω μου τὴν χεῖρα
βάλω,βάλλω,aorist,active,subjunctive,first person,singular,John 20:25,ἥλων καὶ βάλω τὸν δάκτυλόν μου εἰς τὸν τύπον τῶν ἥλων καὶ,"μου τὴν χεῖρα εἰς τὴν πλευρὰν αὐτοῦ, οὐ μὴ πιστεύσω."
βάλλω,βάλλω,present,active,indicative,first person,singular,Revelation 2:22,ἰδοὺ,"αὐτὴν εἰς κλίνην καὶ τοὺς μοιχεύοντας μετʼ αὐτῆς εἰς θλῖψιν μεγάλην, ἐὰν μὴ"
βάλλω,βάλλω,present,active,indicative,first person,singular,Revelation 2:24,"διδαχὴν ταύτην, οἵτινες οὐκ ἔγνωσαν τὰ βαθέα  τοῦ σατανᾶ ὡς λέγουσιν· οὐ","ἐφʼ ὑμᾶς ἄλλο βάρος,"
βάλλουσιν,βάλλω,present,active,indicative,third person,plural,Luke 14:35,"οὔτε εἰς  γῆν οὔτε εἰς κοπρίαν εὔθετόν ἐστιν, ἔξω",αὐτό. ὁ ἔχων ὦτα ἀκούειν ἀκουέτω.
βάλλουσιν,βάλλω,present,active,indicative,third person,plural,Matthew 9:17,οὐδὲ,"οἶνον νέον εἰς ἀσκοὺς παλαιούς· εἰ δὲ μή γε, ῥήγνυνται οἱ ἀσκοὶ καὶ"
βάλλουσιν,βάλλω,present,active,indicative,third person,plural,Matthew 9:17,ῥήγνυνται οἱ ἀσκοὶ καὶ ὁ οἶνος ἐκχεῖται καὶ οἱ ἀσκοὶ ἀπόλλυνται·  ἀλλὰ,"οἶνον νέον εἰς ἀσκοὺς καινούς, καὶ ἀμφότεροι συντηροῦνται."
βάλλουσιν,βάλλω,present,active,indicative,third person,plural,John 15:6,ὡς τὸ κλῆμα καὶ ἐξηράνθη καὶ συνάγουσιν αὐτὰ καὶ εἰς τὸ πῦρ,καὶ καίεται.
βάλλουσαν,βάλλω,present,active,participle,—,singular,Luke 21:2,εἶδεν δέ τινα χήραν πενιχρὰν,"ἐκεῖ λεπτὰ δύο,"
βάλλοντες,βάλλω,present,active,participle,—,plural,Matthew 27:35,Σταυρώσαντες δὲ αὐτὸν διεμερίσαντο τὰ ἱμάτια αὐτοῦ,"κλῆρον,"
βάλλοντες,βάλλω,present,active,participle,—,plural,Mark 15:24,Καὶ σταυροῦσιν αὐτὸν καὶ διαμερίζονται τὰ ἱμάτια αὐτοῦ,κλῆρον ἐπʼ αὐτὰ τίς τί ἄρῃ.
βάλλοντας,βάλλω,present,active,participle,—,plural,Matthew 4:18,"εἶδεν δύο ἀδελφούς, Σίμωνα τὸν λεγόμενον Πέτρον καὶ Ἀνδρέαν τὸν ἀδελφὸν αὐτοῦ,",ἀμφίβληστρον εἰς τὴν θάλασσαν· ἦσαν γὰρ ἁλιεῖς.
βάλλοντας,βάλλω,present,active,participle,—,plural,Luke 21:1,Ἀναβλέψας δὲ εἶδεν τοὺς,εἰς τὸ γαζοφυλάκιον τὰ δῶρα αὐτῶν πλουσίους.
βάλλομεν,βάλλω,present,active,indicative,first person,plural,James 3:3,εἰ δὲ τῶν ἵππων τοὺς χαλινοὺς εἰς τὰ στόματα,"εἰς τὸ πείθεσθαι αὐτοὺς ἡμῖν, καὶ ὅλον τὸ σῶμα αὐτῶν μετάγομεν."
βάλλεται,βάλλω,present,passive,indicative,third person,singular,Matthew 3:10,κεῖται· πᾶν οὖν δένδρον μὴ ποιοῦν καρπὸν καλὸν ἐκκόπτεται καὶ εἰς πῦρ,.
βάλλεται,βάλλω,present,passive,indicative,third person,singular,Matthew 7:19,πᾶν  δένδρον μὴ ποιοῦν καρπὸν καλὸν ἐκκόπτεται καὶ εἰς πῦρ,.
βάλλεται,βάλλω,present,passive,indicative,third person,singular,Luke 3:9,κεῖται· πᾶν οὖν δένδρον μὴ ποιοῦν καρπὸν καλὸν ἐκκόπτεται καὶ εἰς πῦρ,.
βάλλει,βάλλω,present,active,indicative,third person,singular,1 John 4:18,"φόβος οὐκ ἔστιν ἐν τῇ ἀγάπῃ, ἀλλʼ ἡ τελεία ἀγάπη ἔξω","τὸν φόβον, ὅτι ὁ φόβος κόλασιν ἔχει, ὁ δὲ φοβούμενος οὐ τετελείωται ἐν τῇ ἀγάπῃ."
βάλλειν,βάλλω,present,active,infinitive,—,—,Revelation 2:10,μηδὲν φοβοῦ ἃ μέλλεις πάσχειν. ἰδοὺ  μέλλει,ὁ διάβολος ἐξ ὑμῶν εἰς φυλακὴν ἵνα πειρασθῆτε καὶ ἕξετε θλῖψιν ἡμερῶν δέκα
