Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
ψυχῆς,ψυχή,—,—,—,—,feminine,genitive,singular,Romans 16:4,οἵτινες ὑπὲρ τῆς,"μου τὸν ἑαυτῶν τράχηλον ὑπέθηκαν, οἷς οὐκ ἐγὼ μόνος εὐχαριστῶ ἀλλὰ καὶ πᾶσαι αἱ ἐκκλησίαι τῶν ἐθνῶν,"
ψυχὴν,ψυχή,—,—,—,—,feminine,accusative,singular,1 Corinthians 15:45,οὕτως καὶ γέγραπται· ἐγένετο ὁ πρῶτος ἄνθρωπος Ἀδὰμ εἰς,"ζῶσαν, ὁ ἔσχατος Ἀδὰμ εἰς πνεῦμα ζῳοποιοῦν."
ψυχήν,ψυχή,—,—,—,—,feminine,accusative,singular,2 Corinthians 1:23,Ἐγὼ δὲ μάρτυρα τὸν θεὸν ἐπικαλοῦμαι ἐπὶ τὴν ἐμὴν,", ὅτι φειδόμενος ὑμῶν οὐκέτι ἦλθον εἰς Κόρινθον."
ψυχῶν,ψυχή,—,—,—,—,feminine,genitive,plural,2 Corinthians 12:15,ἐγὼ δὲ ἥδιστα δαπανήσω καὶ ἐκδαπανηθήσομαι ὑπὲρ τῶν,"ὑμῶν. εἰ περισσοτέρως ὑμᾶς ἀγαπῶν, ἧσσον ἀγαπῶμαι;"
ψυχῆς,ψυχή,—,—,—,—,feminine,genitive,singular,Ephesians 6:6,μὴ κατʼ ὀφθαλμοδουλίαν ὡς ἀνθρωπάρεσκοι ἀλλʼ ὡς δοῦλοι Χριστοῦ ποιοῦντες τὸ θέλημα τοῦ θεοῦ ἐκ,","
ψυχῇ,ψυχή,—,—,—,—,feminine,dative,singular,Philippians 1:27,"εἴτε ἀπὼν ἀκούω τὰ περὶ ὑμῶν, ὅτι στήκετε ἐν ἑνὶ πνεύματι, μιᾷ",συναθλοῦντες τῇ πίστει τοῦ εὐαγγελίου
ψυχῇ,ψυχή,—,—,—,—,feminine,dative,singular,Philippians 2:30,ὅτι διὰ τὸ ἔργον Χριστοῦ μέχρι θανάτου ἤγγισεν παραβολευσάμενος τῇ,", ἵνα ἀναπληρώσῃ τὸ ὑμῶν ὑστέρημα τῆς πρός με λειτουργίας."
ψυχῆς,ψυχή,—,—,—,—,feminine,genitive,singular,Colossians 3:23,"ὃ ἐὰν ποιῆτε, ἐκ","ἐργάζεσθε ὡς τῷ κυρίῳ  καὶ οὐκ ἀνθρώποις,"
ψυχάς,ψυχή,—,—,—,—,feminine,accusative,plural,1 Thessalonians 2:8,οὕτως ὁμειρόμενοι ὑμῶν εὐδοκοῦμεν μεταδοῦναι ὑμῖν οὐ μόνον τὸ εὐαγγέλιον τοῦ θεοῦ ἀλλὰ καὶ τὰς ἑαυτῶν,", διότι ἀγαπητοὶ ἡμῖν ἐγενήθητε."
ψυχὴ,ψυχή,—,—,—,—,feminine,nominative,singular,1 Thessalonians 5:23,"Αὐτὸς δὲ ὁ θεὸς τῆς εἰρήνης ἁγιάσαι ὑμᾶς ὁλοτελεῖς, καὶ ὁλόκληρον ὑμῶν τὸ πνεῦμα καὶ ἡ",καὶ τὸ σῶμα ἀμέμπτως ἐν τῇ παρουσίᾳ τοῦ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ τηρηθείη.
ψυχῆς,ψυχή,—,—,—,—,feminine,genitive,singular,Hebrews 4:12,Ζῶν γὰρ ὁ λόγος τοῦ θεοῦ καὶ ἐνεργὴς καὶ τομώτερος ὑπὲρ πᾶσαν μάχαιραν δίστομον καὶ διϊκνούμενος ἄχρι μερισμοῦ,"καὶ πνεύματος, ἁρμῶν τε καὶ μυελῶν, καὶ κριτικὸς ἐνθυμήσεων καὶ ἐννοιῶν καρδίας·"
ψυχῆς,ψυχή,—,—,—,—,feminine,genitive,singular,Hebrews 6:19,ἣν ὡς ἄγκυραν ἔχομεν τῆς,"ἀσφαλῆ τε καὶ βεβαίαν καὶ εἰσερχομένην εἰς τὸ ἐσώτερον τοῦ καταπετάσματος,"
ψυχή,ψυχή,—,—,—,—,feminine,nominative,singular,Hebrews 10:38,"ὁ δὲ δίκαιός μου ἐκ πίστεως ζήσεται,        καὶ ἐὰν ὑποστείληται, οὐκ εὐδοκεῖ ἡ",μου ἐν αὐτῷ.
ψυχῆς,ψυχή,—,—,—,—,feminine,genitive,singular,Hebrews 10:39,ἡμεῖς δὲ οὐκ ἐσμὲν ὑποστολῆς εἰς ἀπώλειαν ἀλλὰ πίστεως εἰς περιποίησιν,.
ψυχαῖς,ψυχή,—,—,—,—,feminine,dative,plural,Hebrews 12:3,"ἀναλογίσασθε γὰρ τὸν τοιαύτην ὑπομεμενηκότα ὑπὸ τῶν ἁμαρτωλῶν εἰς ἑαυτὸν ἀντιλογίαν, ἵνα μὴ κάμητε ταῖς",ὑμῶν ἐκλυόμενοι.
ψυχῶν,ψυχή,—,—,—,—,feminine,genitive,plural,Hebrews 13:17,"Πείθεσθε τοῖς ἡγουμένοις ὑμῶν καὶ ὑπείκετε, αὐτοὶ γὰρ ἀγρυπνοῦσιν ὑπὲρ τῶν","ὑμῶν ὡς λόγον ἀποδώσοντες, ἵνα μετὰ χαρᾶς τοῦτο ποιῶσιν καὶ μὴ στενάζοντες· ἀλυσιτελὲς γὰρ ὑμῖν τοῦτο."
ψυχὰς,ψυχή,—,—,—,—,feminine,accusative,plural,James 1:21,διὸ ἀποθέμενοι πᾶσαν ῥυπαρίαν καὶ περισσείαν κακίας ἐν πραΰτητι  δέξασθε τὸν ἔμφυτον λόγον τὸν δυνάμενον σῶσαι τὰς,ὑμῶν.
ψυχὴν,ψυχή,—,—,—,—,feminine,accusative,singular,James 5:20,γινωσκέτω ὅτι ὁ ἐπιστρέψας ἁμαρτωλὸν ἐκ πλάνης ὁδοῦ αὐτοῦ σώσει,αὐτοῦ ἐκ θανάτου καὶ καλύψει πλῆθος ἁμαρτιῶν.
ψυχῶν,ψυχή,—,—,—,—,feminine,genitive,plural,1 Peter 1:9,κομιζόμενοι τὸ τέλος τῆς πίστεως ὑμῶν σωτηρίαν,.
ψυχὰς,ψυχή,—,—,—,—,feminine,accusative,plural,1 Peter 1:22,Τὰς,ὑμῶν ἡγνικότες ἐν τῇ ὑπακοῇ τῆς ἀληθείας  εἰς φιλαδελφίαν ἀνυπόκριτον ἐκ καθαρᾶς καρδίας ἀλλήλους ἀγαπήσατε ἐκτενῶς
ψυχῆς,ψυχή,—,—,—,—,feminine,genitive,singular,1 Peter 2:11,"Ἀγαπητοί, παρακαλῶ ὡς παροίκους καὶ παρεπιδήμους ἀπέχεσθαι τῶν σαρκικῶν ἐπιθυμιῶν αἵτινες στρατεύονται κατὰ τῆς",·
ψυχῶν,ψυχή,—,—,—,—,feminine,genitive,plural,1 Peter 2:25,"ἦτε γὰρ ὡς πρόβατα πλανώμενοι,        ἀλλʼ ἐπεστράφητε νῦν ἐπὶ τὸν ποιμένα        καὶ ἐπίσκοπον τῶν",ὑμῶν.
ψυχαί,ψυχή,—,—,—,—,feminine,nominative,plural,1 Peter 3:20,"μακροθυμία ἐν ἡμέραις Νῶε κατασκευαζομένης κιβωτοῦ εἰς ἣν ὀλίγοι, τοῦτʼ ἔστιν ὀκτὼ",", διεσώθησαν διʼ ὕδατος"
ψυχὰς,ψυχή,—,—,—,—,feminine,accusative,plural,1 Peter 4:19,ὥστε καὶ οἱ πάσχοντες κατὰ τὸ θέλημα τοῦ θεοῦ πιστῷ κτίστῃ παρατιθέσθωσαν τὰς,αὐτῶν ἐν ἀγαθοποιΐᾳ.
ψυχὴν,ψυχή,—,—,—,—,feminine,accusative,singular,2 Peter 2:8,βλέμματι γὰρ καὶ ἀκοῇ ὁ δίκαιος ἐγκατοικῶν ἐν αὐτοῖς ἡμέραν ἐξ ἡμέρας,δικαίαν ἀνόμοις ἔργοις ἐβασάνιζεν.
ψυχὰς,ψυχή,—,—,—,—,feminine,accusative,plural,2 Peter 2:14,"ὀφθαλμοὺς ἔχοντες μεστοὺς μοιχαλίδος καὶ ἀκαταπαύστους ἁμαρτίας, δελεάζοντες","ἀστηρίκτους, καρδίαν γεγυμνασμένην πλεονεξίας ἔχοντες, κατάρας τέκνα."
ψυχὴν,ψυχή,—,—,—,—,feminine,accusative,singular,1 John 3:16,"ἐν τούτῳ ἐγνώκαμεν τὴν ἀγάπην, ὅτι ἐκεῖνος ὑπὲρ ἡμῶν τὴν","αὐτοῦ ἔθηκεν, καὶ ἡμεῖς ὀφείλομεν ὑπὲρ τῶν ἀδελφῶν τὰς ψυχὰς θεῖναι."
ψυχὰς,ψυχή,—,—,—,—,feminine,accusative,plural,1 John 3:16,"ἡμῶν τὴν ψυχὴν αὐτοῦ ἔθηκεν, καὶ ἡμεῖς ὀφείλομεν ὑπὲρ τῶν ἀδελφῶν τὰς",θεῖναι.
ψυχή,ψυχή,—,—,—,—,feminine,nominative,singular,3 John 2,"Ἀγαπητέ, περὶ πάντων εὔχομαί σε εὐοδοῦσθαι καὶ ὑγιαίνειν, καθὼς εὐοδοῦταί σου ἡ",.
ψυχὴν,ψυχή,—,—,—,—,feminine,accusative,singular,Jude 15,ποιῆσαι κρίσιν κατὰ πάντων καὶ ἐλέγξαι πᾶσαν,περὶ πάντων τῶν ἔργων ἀσεβείας αὐτῶν ὧν ἠσέβησαν καὶ περὶ πάντων τῶν σκληρῶν
ψυχὰς,ψυχή,—,—,—,—,feminine,accusative,plural,Revelation 6:9,"Καὶ ὅτε ἤνοιξεν τὴν πέμπτην σφραγῖδα, εἶδον ὑποκάτω τοῦ θυσιαστηρίου τὰς",τῶν ἐσφαγμένων διὰ τὸν λόγον τοῦ θεοῦ καὶ διὰ τὴν μαρτυρίαν  ἣν εἶχον.
ψυχὰς,ψυχή,—,—,—,—,feminine,accusative,plural,Revelation 8:9,καὶ ἀπέθανεν τὸ τρίτον  τῶν κτισμάτων τῶν ἐν τῇ θαλάσσῃ τὰ ἔχοντα,καὶ τὸ τρίτον τῶν πλοίων διεφθάρησαν.  Καὶ
ψυχὴν,ψυχή,—,—,—,—,feminine,accusative,singular,Revelation 12:11,ἀρνίου        καὶ διὰ τὸν λόγον τῆς μαρτυρίας αὐτῶν      καὶ οὐκ ἠγάπησαν τὴν,αὐτῶν ἄχρι θανάτου.
ψυχὴ,ψυχή,—,—,—,—,feminine,nominative,singular,Revelation 16:3,"Καὶ ὁ δεύτερος  ἐξέχεεν τὴν φιάλην αὐτοῦ εἰς τὴν θάλασσαν, καὶ ἐγένετο αἷμα ὡς νεκροῦ, καὶ πᾶσα",ζωῆς ἀπέθανεν τὰ ἐν τῇ θαλάσσῃ.
ψυχὰς,ψυχή,—,—,—,—,feminine,accusative,plural,Revelation 18:13,"σῖτον καὶ κτήνη καὶ πρόβατα, καὶ ἵππων καὶ ῥεδῶν καὶ σωμάτων, καὶ",ἀνθρώπων.
ψυχῆς,ψυχή,—,—,—,—,feminine,genitive,singular,Revelation 18:14,καὶ ἡ ὀπώρα σου τῆς ἐπιθυμίας τῆς,"ἀπῆλθεν ἀπὸ σοῦ,      καὶ πάντα τὰ λιπαρὰ καὶ τὰ λαμπρὰ ἀπώλετο ἀπὸ σοῦ"
ψυχὰς,ψυχή,—,—,—,—,feminine,accusative,plural,Revelation 20:4,"Καὶ εἶδον θρόνους καὶ ἐκάθισαν ἐπʼ αὐτοὺς καὶ κρίμα ἐδόθη αὐτοῖς, καὶ  τὰς",τῶν πεπελεκισμένων διὰ τὴν μαρτυρίαν Ἰησοῦ καὶ διὰ τὸν λόγον τοῦ θεοῦ καὶ
