Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
διδάσκων,διδάσκω,present,active,participle,—,masculine,nominative,singular,Matthew 4:23,Καὶ περιῆγεν ἐν ὅλῃ τῇ Γαλιλαίᾳ,ἐν ταῖς συναγωγαῖς αὐτῶν καὶ κηρύσσων τὸ εὐαγγέλιον τῆς βασιλείας καὶ θεραπεύων πᾶσαν
ἐδίδασκεν,διδάσκω,imperfect,active,indicative,third person,—,—,singular,Matthew 5:2,καὶ ἀνοίξας τὸ στόμα αὐτοῦ,αὐτοὺς λέγων·
διδάξῃ,διδάσκω,aorist,active,subjunctive,third person,—,—,singular,Matthew 5:19,ὃς ἐὰν οὖν λύσῃ μίαν τῶν ἐντολῶν τούτων τῶν ἐλαχίστων καὶ,"οὕτως τοὺς ἀνθρώπους, ἐλάχιστος κληθήσεται ἐν τῇ βασιλείᾳ τῶν οὐρανῶν· ὃς δʼ ἂν"
διδάξῃ,διδάσκω,aorist,active,subjunctive,third person,—,—,singular,Matthew 5:19,ἐλάχιστος κληθήσεται ἐν τῇ βασιλείᾳ τῶν οὐρανῶν· ὃς δʼ ἂν ποιήσῃ καὶ,", οὗτος μέγας κληθήσεται ἐν τῇ βασιλείᾳ τῶν οὐρανῶν."
διδάσκων,διδάσκω,present,active,participle,—,masculine,nominative,singular,Matthew 7:29,ἦν γὰρ,αὐτοὺς ὡς ἐξουσίαν ἔχων καὶ οὐχ ὡς οἱ γραμματεῖς αὐτῶν.
διδάσκων,διδάσκω,present,active,participle,—,masculine,nominative,singular,Matthew 9:35,Καὶ περιῆγεν ὁ Ἰησοῦς τὰς πόλεις πάσας καὶ τὰς κώμας,ἐν ταῖς συναγωγαῖς αὐτῶν καὶ κηρύσσων τὸ εὐαγγέλιον τῆς βασιλείας καὶ θεραπεύων πᾶσαν νόσον καὶ πᾶσαν μαλακίαν.
διδάσκειν,διδάσκω,present,active,infinitive,—,—,—,—,Matthew 11:1,"Καὶ ἐγένετο ὅτε ἐτέλεσεν ὁ Ἰησοῦς διατάσσων τοῖς δώδεκα μαθηταῖς αὐτοῦ, μετέβη ἐκεῖθεν τοῦ",καὶ κηρύσσειν ἐν ταῖς πόλεσιν αὐτῶν.
ἐδίδασκεν,διδάσκω,imperfect,active,indicative,third person,—,—,singular,Matthew 13:54,καὶ ἐλθὼν εἰς τὴν πατρίδα αὐτοῦ,"αὐτοὺς ἐν τῇ συναγωγῇ αὐτῶν, ὥστε ἐκπλήσσεσθαι αὐτοὺς καὶ λέγειν· πόθεν τούτῳ  ἡ"
διδάσκοντες,διδάσκω,present,active,participle,—,masculine,nominative,plural,Matthew 15:9,μάτην δὲ σέβονταί με,διδασκαλίας ἐντάλματα ἀνθρώπων.
διδάσκοντι,διδάσκω,present,active,participle,—,masculine,dative,singular,Matthew 21:23,Καὶ ἐλθόντος αὐτοῦ εἰς τὸ ἱερὸν προσῆλθον αὐτῷ,οἱ ἀρχιερεῖς καὶ οἱ πρεσβύτεροι τοῦ λαοῦ λέγοντες· ἐν ποίᾳ ἐξουσίᾳ ταῦτα ποιεῖς
διδάσκεις,διδάσκω,present,active,indicative,second person,—,—,singular,Matthew 22:16,"διδάσκαλε, οἴδαμεν ὅτι ἀληθὴς εἶ καὶ τὴν ὁδὸν τοῦ θεοῦ ἐν ἀληθείᾳ","καὶ οὐ μέλει σοι περὶ οὐδενός· οὐ γὰρ βλέπεις εἰς πρόσωπον ἀνθρώπων,"
διδάσκων,διδάσκω,present,active,participle,—,masculine,nominative,singular,Matthew 26:55,μετὰ μαχαιρῶν καὶ ξύλων συλλαβεῖν με; καθʼ ἡμέραν ἐν τῷ ἱερῷ ἐκαθεζόμην,καὶ οὐκ ἐκρατήσατέ με.
ἐδιδάχθησαν,διδάσκω,aorist,passive,indicative,third person,—,—,plural,Matthew 28:15,οἱ δὲ λαβόντες τὰ ἀργύρια ἐποίησαν ὡς,. καὶ διεφημίσθη ὁ λόγος οὗτος παρὰ Ἰουδαίοις μέχρι τῆς σήμερον [ἡμέρας].
διδάσκοντες,διδάσκω,present,active,participle,—,masculine,nominative,plural,Matthew 28:20,—,αὐτοὺς τηρεῖν πάντα ὅσα ἐνετειλάμην ὑμῖν· καὶ ἰδοὺ ἐγὼ μεθʼ ὑμῶν εἰμι πάσας
ἐδίδασκεν,διδάσκω,imperfect,active,indicative,third person,—,—,singular,Mark 1:21,Καὶ εἰσπορεύονται εἰς Καφαρναούμ· καὶ εὐθὺς τοῖς σάββασιν εἰσελθὼν εἰς τὴν συναγωγὴν,.
διδάσκων,διδάσκω,present,active,participle,—,masculine,nominative,singular,Mark 1:22,καὶ ἐξεπλήσσοντο ἐπὶ τῇ διδαχῇ αὐτοῦ· ἦν γὰρ,αὐτοὺς ὡς ἐξουσίαν ἔχων καὶ οὐχ ὡς οἱ γραμματεῖς.
ἐδίδασκεν,διδάσκω,imperfect,active,indicative,third person,—,—,singular,Mark 2:13,"Καὶ ἐξῆλθεν πάλιν παρὰ τὴν θάλασσαν· καὶ πᾶς ὁ ὄχλος ἤρχετο πρὸς αὐτόν, καὶ",αὐτούς.
διδάσκειν,διδάσκω,present,active,infinitive,—,—,—,—,Mark 4:1,Καὶ πάλιν ἤρξατο,"παρὰ τὴν θάλασσαν· καὶ συνάγεται πρὸς αὐτὸν ὄχλος πλεῖστος, ὥστε αὐτὸν εἰς πλοῖον"
ἐδίδασκεν,διδάσκω,imperfect,active,indicative,third person,—,—,singular,Mark 4:2,καὶ,αὐτοὺς ἐν παραβολαῖς πολλὰ καὶ ἔλεγεν αὐτοῖς ἐν τῇ διδαχῇ αὐτοῦ·
