Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
λογιζέσθω,λογίζομαι,present,either middle or passive,imperative,third person,—,—,singular,1 Corinthians 4:1,Οὕτως ἡμᾶς,ἄνθρωπος ὡς ὑπηρέτας Χριστοῦ καὶ οἰκονόμους μυστηρίων θεοῦ.
λογίζεται,λογίζομαι,present,either middle or passive,indicative,third person,—,—,singular,1 Corinthians 13:5,"οὐκ ἀσχημονεῖ, οὐ ζητεῖ τὰ ἑαυτῆς, οὐ παροξύνεται, οὐ","τὸ κακόν,"
ἐλογιζόμην,λογίζομαι,imperfect,either middle or passive,indicative,first person,—,—,singular,1 Corinthians 13:11,"ὅτε ἤμην νήπιος, ἐλάλουν ὡς νήπιος, ἐφρόνουν ὡς νήπιος,","ὡς νήπιος· ὅτε  γέγονα ἀνήρ, κατήργηκα τὰ τοῦ νηπίου."
λογίσασθαί,λογίζομαι,aorist,middle,infinitive,—,—,—,—,2 Corinthians 3:5,οὐχ ὅτι ἀφʼ ἑαυτῶν ἱκανοί ἐσμεν,"τι ὡς ἐξ ἑαυτῶν, ἀλλʼ ἡ ἱκανότης ἡμῶν ἐκ τοῦ θεοῦ,"
λογιζόμενος,λογίζομαι,present,either middle or passive,participle,—,masculine,nominative,singular,2 Corinthians 5:19,"ὡς ὅτι θεὸς ἦν ἐν Χριστῷ κόσμον καταλλάσσων ἑαυτῷ, μὴ",αὐτοῖς τὰ παραπτώματα αὐτῶν καὶ θέμενος ἐν ἡμῖν τὸν λόγον τῆς καταλλαγῆς.
λογίζομαι,λογίζομαι,present,either middle or passive,indicative,first person,—,—,singular,2 Corinthians 10:2,δέομαι δὲ τὸ μὴ παρὼν θαρρῆσαι τῇ πεποιθήσει ᾗ,τολμῆσαι ἐπί τινας τοὺς λογιζομένους ἡμᾶς ὡς κατὰ σάρκα περιπατοῦντας.
λογιζομένους,λογίζομαι,present,either middle or passive,participle,—,masculine,accusative,plural,2 Corinthians 10:2,δέομαι δὲ τὸ μὴ παρὼν θαρρῆσαι τῇ πεποιθήσει ᾗ λογίζομαι τολμῆσαι ἐπί τινας τοὺς,ἡμᾶς ὡς κατὰ σάρκα περιπατοῦντας.
λογιζέσθω,λογίζομαι,present,either middle or passive,imperative,third person,—,—,singular,2 Corinthians 10:7,"Τὰ κατὰ πρόσωπον βλέπετε. εἴ τις πέποιθεν ἑαυτῷ Χριστοῦ  εἶναι, τοῦτο","πάλιν ἐφʼ ἑαυτοῦ, ὅτι καθὼς αὐτὸς Χριστοῦ, οὕτως καὶ ἡμεῖς."
λογιζέσθω,λογίζομαι,present,either middle or passive,imperative,third person,—,—,singular,2 Corinthians 10:11,τοῦτο,"ὁ τοιοῦτος, ὅτι οἷοί ἐσμεν τῷ λόγῳ διʼ ἐπιστολῶν ἀπόντες, τοιοῦτοι καὶ παρόντες τῷ ἔργῳ."
Λογίζομαι,λογίζομαι,present,either middle or passive,indicative,first person,—,—,singular,2 Corinthians 11:5,—,γὰρ μηδὲν ὑστερηκέναι τῶν ὑπερλίαν ἀποστόλων.
λογίσηται,λογίζομαι,aorist,middle,subjunctive,third person,—,—,singular,2 Corinthians 12:6,"Ἐὰν γὰρ θελήσω καυχήσασθαι, οὐκ ἔσομαι ἄφρων, ἀλήθειαν γὰρ ἐρῶ· φείδομαι δέ, μή τις εἰς ἐμὲ",ὑπὲρ ὃ βλέπει με ἢ ἀκούει [τι] ἐξ ἐμοῦ
ἐλογίσθη,λογίζομαι,aorist,passive,indicative,third person,—,—,singular,Galatians 3:6,"Καθὼς Ἀβραὰμ ἐπίστευσεν τῷ θεῷ, καὶ",αὐτῷ εἰς δικαιοσύνην·
λογίζομαι,λογίζομαι,present,either middle or passive,indicative,first person,—,—,singular,Philippians 3:13,"ἀδελφοί, ἐγὼ ἐμαυτὸν οὐ","κατειληφέναι· ἓν δέ, τὰ μὲν ὀπίσω ἐπιλανθανόμενος τοῖς δὲ ἔμπροσθεν ἐπεκτεινόμενος,"
λογίζεσθε,λογίζομαι,present,either middle or passive,imperative,second person,—,—,plural,Philippians 4:8,"ὅσα προσφιλῆ, ὅσα εὔφημα, εἴ τις ἀρετὴ καὶ εἴ τις ἔπαινος, ταῦτα",·
λογισθείη,λογίζομαι,aorist,passive,optative,third person,—,—,singular,2 Timothy 4:16,"Ἐν τῇ πρώτῃ μου ἀπολογίᾳ οὐδείς μοι παρεγένετο, ἀλλὰ πάντες με ἐγκατέλιπον· μὴ αὐτοῖς",·
λογισάμενος,λογίζομαι,aorist,middle,participle,—,masculine,nominative,singular,Hebrews 11:19,—,"ὅτι καὶ ἐκ νεκρῶν ἐγείρειν δυνατὸς ὁ θεός, ὅθεν αὐτὸν καὶ ἐν παραβολῇ ἐκομίσατο."
ἐλογίσθη,λογίζομαι,aorist,passive,indicative,third person,—,—,singular,James 2:23,"καὶ ἐπληρώθη ἡ γραφὴ ἡ λέγουσα· ἐπίστευσεν δὲ Ἀβραὰμ τῷ θεῷ, καὶ",αὐτῷ εἰς δικαιοσύνην καὶ φίλος θεοῦ ἐκλήθη.
λογίζομαι,λογίζομαι,present,either middle or passive,indicative,first person,—,—,singular,1 Peter 5:12,"Διὰ Σιλουανοῦ ὑμῖν τοῦ πιστοῦ ἀδελφοῦ, ὡς",", διʼ ὀλίγων ἔγραψα παρακαλῶν καὶ ἐπιμαρτυρῶν ταύτην εἶναι ἀληθῆ χάριν τοῦ θεοῦ εἰς ἣν στῆτε."
