Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
δέχεται,δέχομαι,present,either middle or passive,indicative,third person,singular,Matthew 18:5,"καὶ ὃς ἐὰν δέξηται ἓν παιδίον τοιοῦτο ἐπὶ τῷ ὀνόματί μου, ἐμὲ",.
δέχεται,δέχομαι,present,either middle or passive,indicative,third person,singular,Mark 9:37,"ὃς ἂν ἓν τῶν τοιούτων παιδίων δέξηται ἐπὶ τῷ ὀνόματί μου, ἐμὲ","· καὶ ὃς ἂν ἐμὲ δέχηται, οὐκ ἐμὲ δέχεται ἀλλὰ τὸν ἀποστείλαντά με."
δέχεται,δέχομαι,present,either middle or passive,indicative,third person,singular,Mark 9:37,"τῷ ὀνόματί μου, ἐμὲ δέχεται· καὶ ὃς ἂν ἐμὲ δέχηται, οὐκ ἐμὲ",ἀλλὰ τὸν ἀποστείλαντά με.
δέχεται,δέχομαι,present,either middle or passive,indicative,third person,singular,Luke 9:48,"καὶ εἶπεν αὐτοῖς· ὃς ἐὰν δέξηται τοῦτο τὸ παιδίον ἐπὶ τῷ ὀνόματί μου, ἐμὲ","· καὶ ὃς ἂν ἐμὲ δέξηται, δέχεται τὸν ἀποστείλαντά με· ὁ γὰρ μικρότερος ἐν"
δέχεται,δέχομαι,present,either middle or passive,indicative,third person,singular,Luke 9:48,"παιδίον ἐπὶ τῷ ὀνόματί μου, ἐμὲ δέχεται· καὶ ὃς ἂν ἐμὲ δέξηται,",τὸν ἀποστείλαντά με· ὁ γὰρ μικρότερος ἐν πᾶσιν ὑμῖν ὑπάρχων οὗτός ἐστιν  μέγας.
δέχεται,δέχομαι,present,either middle or passive,indicative,third person,singular,1 Corinthians 2:14,ψυχικὸς δὲ ἄνθρωπος οὐ,"τὰ τοῦ πνεύματος τοῦ θεοῦ·  μωρία γὰρ αὐτῷ ἐστιν καὶ οὐ δύναται γνῶναι, ὅτι πνευματικῶς ἀνακρίνεται."
δέξωνται,δέχομαι,aorist,middle,subjunctive,third person,plural,Luke 16:9,"Καὶ ἐγὼ ὑμῖν λέγω, ἑαυτοῖς ποιήσατε φίλους ἐκ τοῦ μαμωνᾶ τῆς ἀδικίας, ἵνα ὅταν ἐκλίπῃ",ὑμᾶς εἰς τὰς αἰωνίους σκηνάς.
δέξωνταί,δέχομαι,aorist,middle,subjunctive,third person,plural,Luke 16:4,"ἔγνων τί ποιήσω, ἵνα ὅταν μετασταθῶ ἐκ τῆς οἰκονομίας",με εἰς τοὺς οἴκους αὐτῶν.
δέξηται,δέχομαι,aorist,middle,subjunctive,third person,singular,Matthew 10:14,καὶ ὃς ἂν μὴ,"ὑμᾶς μηδὲ ἀκούσῃ τοὺς λόγους ὑμῶν, ἐξερχόμενοι ἔξω τῆς οἰκίας ἢ τῆς πόλεως"
δέξηται,δέχομαι,aorist,middle,subjunctive,third person,singular,Matthew 18:5,καὶ ὃς ἐὰν,"ἓν παιδίον τοιοῦτο ἐπὶ τῷ ὀνόματί μου, ἐμὲ δέχεται."
