Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
θεραπεύων,θεραπεύω,present,active,participle,—,masculine,nominative,singular,Matthew 4:23,Καὶ περιῆγεν ἐν ὅλῃ τῇ Γαλιλαίᾳ διδάσκων ἐν ταῖς συναγωγαῖς αὐτῶν καὶ κηρύσσων τὸ εὐαγγέλιον τῆς βασιλείας καὶ,πᾶσαν νόσον καὶ πᾶσαν μαλακίαν ἐν τῷ λαῷ.
ἐθεράπευσεν,θεραπεύω,aorist,active,indicative,third person,—,—,singular,Matthew 4:24,"ποικίλαις νόσοις καὶ βασάνοις συνεχομένους [καὶ] δαιμονιζομένους καὶ σεληνιαζομένους καὶ παραλυτικούς, καὶ",αὐτούς.
θεραπεύσω,θεραπεύω,future,active,indicative,first person,—,—,singular,Matthew 8:7,καὶ λέγει αὐτῷ· ἐγὼ ἐλθὼν,αὐτόν.
ἐθεράπευσεν,θεραπεύω,aorist,active,indicative,third person,—,—,singular,Matthew 8:16,Ὀψίας δὲ γενομένης προσήνεγκαν αὐτῷ δαιμονιζομένους πολλούς· καὶ ἐξέβαλεν τὰ πνεύματα λόγῳ καὶ πάντας τοὺς κακῶς ἔχοντας,","
θεραπεύων,θεραπεύω,present,active,participle,—,masculine,nominative,singular,Matthew 9:35,διδάσκων ἐν ταῖς συναγωγαῖς αὐτῶν καὶ κηρύσσων τὸ εὐαγγέλιον τῆς βασιλείας καὶ,πᾶσαν νόσον καὶ πᾶσαν μαλακίαν.
θεραπεύειν,θεραπεύω,present,active,infinitive,—,—,—,—,Matthew 10:1,Καὶ προσκαλεσάμενος τοὺς δώδεκα μαθητὰς αὐτοῦ ἔδωκεν αὐτοῖς ἐξουσίαν  πνευμάτων ἀκαθάρτων ὥστε ἐκβάλλειν αὐτὰ καὶ,πᾶσαν νόσον καὶ πᾶσαν μαλακίαν.
θεραπεύετε,θεραπεύω,present,active,imperative,second person,—,—,plural,Matthew 10:8,ἀσθενοῦντας,", νεκροὺς ἐγείρετε, λεπροὺς καθαρίζετε, δαιμόνια ἐκβάλλετε⸃· δωρεὰν ἐλάβετε, δωρεὰν δότε."
θεραπεῦσαι,θεραπεύω,aorist,active,infinitive,—,—,—,—,Matthew 12:10,καὶ ἰδοὺ ἄνθρωπος  χεῖρα ἔχων ξηράν. καὶ ἐπηρώτησαν αὐτὸν λέγοντες· εἰ ἔξεστιν τοῖς σάββασιν,; ἵνα κατηγορήσωσιν αὐτοῦ.
ἐθεράπευσεν,θεραπεύω,aorist,active,indicative,third person,—,—,singular,Matthew 12:15,"Ὁ δὲ Ἰησοῦς γνοὺς ἀνεχώρησεν ἐκεῖθεν.  καὶ ἠκολούθησαν αὐτῷ [ὄχλοι] πολλοί, καὶ",αὐτοὺς πάντας
ἐθεράπευσεν,θεραπεύω,aorist,active,indicative,third person,—,—,singular,Matthew 12:22,"Τότε προσηνέχθη αὐτῷ δαιμονιζόμενος τυφλὸς καὶ κωφός, καὶ","αὐτόν, ὥστε τὸν κωφὸν λαλεῖν καὶ βλέπειν."
