Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
ἀγάπη,ἀγάπη,—,—,—,—,feminine,nominative,singular,Matthew 24:12,καὶ διὰ τὸ πληθυνθῆναι τὴν ἀνομίαν ψυγήσεται ἡ,τῶν πολλῶν.
ἀγάπην,ἀγάπη,—,—,—,—,feminine,accusative,singular,Luke 11:42,καὶ τὸ πήγανον καὶ πᾶν λάχανον καὶ παρέρχεσθε τὴν κρίσιν καὶ τὴν,τοῦ θεοῦ· ταῦτα δὲ ἔδει ποιῆσαι κἀκεῖνα μὴ παρεῖναι.
ἀγάπην,ἀγάπη,—,—,—,—,feminine,accusative,singular,John 5:42,ἀλλʼ ἔγνωκα ὑμᾶς ὅτι τὴν,τοῦ θεοῦ οὐκ ἔχετε ἐν ἑαυτοῖς.
ἀγάπην,ἀγάπη,—,—,—,—,feminine,accusative,singular,John 13:35,"ἐν τούτῳ γνώσονται πάντες ὅτι ἐμοὶ μαθηταί ἐστε, ἐὰν",ἔχητε ἐν ἀλλήλοις.
ἀγάπῃ,ἀγάπη,—,—,—,—,feminine,dative,singular,John 15:9,"Καθὼς ἠγάπησέν με ὁ πατήρ, κἀγὼ ὑμᾶς ἠγάπησα· μείνατε ἐν τῇ",τῇ ἐμῇ.
ἀγάπῃ,ἀγάπη,—,—,—,—,feminine,dative,singular,John 15:10,"ἐὰν τὰς ἐντολάς μου τηρήσητε, μενεῖτε ἐν τῇ","μου, καθὼς ἐγὼ τὰς ἐντολὰς τοῦ πατρός μου τετήρηκα καὶ μένω αὐτοῦ ἐν τῇ ἀγάπῃ."
ἀγάπῃ,ἀγάπη,—,—,—,—,feminine,dative,singular,John 15:10,ἐγὼ τὰς ἐντολὰς τοῦ πατρός μου τετήρηκα καὶ μένω αὐτοῦ ἐν τῇ,.
ἀγάπην,ἀγάπη,—,—,—,—,feminine,accusative,singular,John 15:13,μείζονα ταύτης,"οὐδεὶς ἔχει, ἵνα τις τὴν ψυχὴν αὐτοῦ θῇ ὑπὲρ τῶν φίλων αὐτοῦ."
ἀγάπη,ἀγάπη,—,—,—,—,feminine,nominative,singular,John 17:26,"καὶ ἐγνώρισα αὐτοῖς τὸ ὄνομά σου καὶ γνωρίσω, ἵνα ἡ",ἣν ἠγάπησάς με ἐν αὐτοῖς ᾖ κἀγὼ ἐν αὐτοῖς.
ἀγάπη,ἀγάπη,—,—,—,—,feminine,nominative,singular,Romans 5:5,"ἡ δὲ ἐλπὶς οὐ καταισχύνει, ὅτι ἡ",τοῦ θεοῦ ἐκκέχυται ἐν ταῖς καρδίαις ἡμῶν διὰ πνεύματος ἁγίου τοῦ δοθέντος ἡμῖν.
ἀγάπην,ἀγάπη,—,—,—,—,feminine,accusative,singular,Romans 5:8,συνίστησιν δὲ τὴν ἑαυτοῦ,"εἰς ἡμᾶς ὁ θεός, ὅτι  ἔτι ἁμαρτωλῶν ὄντων ἡμῶν Χριστὸς ὑπὲρ ἡμῶν ἀπέθανεν."
ἀγάπης,ἀγάπη,—,—,—,—,feminine,genitive,singular,Romans 8:35,τίς ἡμᾶς χωρίσει ἀπὸ τῆς,τοῦ Χριστοῦ; θλῖψις ἢ στενοχωρία ἢ διωγμὸς ἢ λιμὸς ἢ γυμνότης ἢ κίνδυνος ἢ μάχαιρα;
ἀγάπης,ἀγάπη,—,—,—,—,feminine,genitive,singular,Romans 8:39,οὔτε ὕψωμα οὔτε βάθος οὔτε τις κτίσις ἑτέρα δυνήσεται ἡμᾶς χωρίσαι ἀπὸ τῆς,τοῦ θεοῦ τῆς ἐν Χριστῷ Ἰησοῦ τῷ κυρίῳ ἡμῶν.
ἀγάπη,ἀγάπη,—,—,—,—,feminine,nominative,singular,Romans 12:9,Ἡ,"ἀνυπόκριτος. ἀποστυγοῦντες τὸ πονηρόν, κολλώμενοι τῷ ἀγαθῷ,"
ἀγάπη,ἀγάπη,—,—,—,—,feminine,nominative,singular,Romans 13:10,ἡ,τῷ πλησίον κακὸν οὐκ ἐργάζεται· πλήρωμα οὖν νόμου ἡ ἀγάπη.
ἀγάπη,ἀγάπη,—,—,—,—,feminine,nominative,singular,Romans 13:10,ἡ ἀγάπη τῷ πλησίον κακὸν οὐκ ἐργάζεται· πλήρωμα οὖν νόμου ἡ,.
ἀγάπην,ἀγάπη,—,—,—,—,feminine,accusative,singular,Romans 14:15,"εἰ γὰρ διὰ βρῶμα ὁ ἀδελφός σου λυπεῖται, οὐκέτι κατὰ",περιπατεῖς· μὴ τῷ βρώματί σου ἐκεῖνον ἀπόλλυε ὑπὲρ οὗ Χριστὸς ἀπέθανεν.
ἀγάπης,ἀγάπη,—,—,—,—,feminine,genitive,singular,Romans 15:30,"Παρακαλῶ δὲ ὑμᾶς [ἀδελφοί,] διὰ τοῦ  κυρίου ἡμῶν Ἰησοῦ Χριστοῦ καὶ διὰ τῆς","τοῦ πνεύματος συναγωνίσασθαί μοι ἐν ταῖς προσευχαῖς ὑπὲρ ἐμοῦ πρὸς τὸν θεόν,"
ἀγάπῃ,ἀγάπη,—,—,—,—,feminine,dative,singular,1 Corinthians 4:21,τί θέλετε; ἐν ῥάβδῳ ἔλθω πρὸς ὑμᾶς ἢ ἐν,πνεύματί τε πραΰτητος;
ἀγάπη,ἀγάπη,—,—,—,—,feminine,nominative,singular,1 Corinthians 8:1,"Περὶ δὲ τῶν εἰδωλοθύτων, οἴδαμεν ὅτι πάντες γνῶσιν ἔχομεν. ἡ  γνῶσις φυσιοῖ, ἡ δὲ",οἰκοδομεῖ·
ἀγάπην,ἀγάπη,—,—,—,—,feminine,accusative,singular,1 Corinthians 13:1,"Ἐὰν ταῖς γλώσσαις τῶν ἀνθρώπων λαλῶ καὶ τῶν ἀγγέλων,","δὲ μὴ ἔχω, γέγονα χαλκὸς ἠχῶν ἢ κύμβαλον ἀλαλάζον."
ἀγάπην,ἀγάπη,—,—,—,—,feminine,accusative,singular,1 Corinthians 13:2,"πᾶσαν τὴν γνῶσιν καὶ ἐὰν ἔχω πᾶσαν τὴν πίστιν ὥστε ὄρη μεθιστάναι,","δὲ μὴ ἔχω, οὐθέν εἰμι."
