Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,1 Corinthians 11:25,"ἐστὶν ἐν τῷ ἐμῷ αἵματι· τοῦτο ποιεῖτε, ὁσάκις ἐὰν πίνητε, εἰς τὴν",ἐμὴν,ἀνάμνησιν.,ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
NA28,1 Corinthians 16:18,ἀνέπαυσαν γὰρ τὸ,ἐμὸν,πνεῦμα καὶ τὸ ὑμῶν. ἐπιγινώσκετε οὖν τοὺς τοιούτους.,ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
NA28,1 Corinthians 16:21,Ὁ ἀσπασμὸς τῇ,ἐμῇ,χειρὶ Παύλου.,ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
NA28,2 Corinthians 1:23,Ἐγὼ δὲ μάρτυρα τὸν θεὸν ἐπικαλοῦμαι ἐπὶ τὴν,ἐμὴν,"ψυχήν, ὅτι φειδόμενος ὑμῶν οὐκέτι ἦλθον εἰς Κόρινθον.",ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
NA28,2 Corinthians 2:3,"σχῶ ἀφʼ ὧν ἔδει με χαίρειν, πεποιθὼς ἐπὶ πάντας ὑμᾶς ὅτι ἡ",ἐμὴ,χαρὰ πάντων ὑμῶν ἐστιν.,ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
NA28,2 Corinthians 8:23,"εἴτε ὑπὲρ Τίτου, κοινωνὸς",ἐμὸς,"καὶ εἰς ὑμᾶς συνεργός· εἴτε ἀδελφοὶ ἡμῶν, ἀπόστολοι ἐκκλησιῶν, δόξα Χριστοῦ.",ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
NA28,Galatians 1:13,Ἠκούσατε γὰρ τὴν,ἐμὴν,"ἀναστροφήν ποτε ἐν τῷ Ἰουδαϊσμῷ, ὅτι καθʼ ὑπερβολὴν ἐδίωκον τὴν ἐκκλησίαν τοῦ θεοῦ καὶ ἐπόρθουν αὐτήν,",ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
NA28,Galatians 6:11,Ἴδετε πηλίκοις ὑμῖν γράμμασιν ἔγραψα τῇ,ἐμῇ,χειρί.,ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
NA28,Philippians 1:26,ἵνα τὸ καύχημα ὑμῶν περισσεύῃ ἐν Χριστῷ Ἰησοῦ ἐν ἐμοὶ διὰ τῆς,ἐμῆς,παρουσίας πάλιν πρὸς ὑμᾶς.,ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
NA28,Philippians 3:9,"καὶ εὑρεθῶ ἐν αὐτῷ, μὴ ἔχων",ἐμὴν,"δικαιοσύνην τὴν ἐκ νόμου ἀλλὰ τὴν διὰ πίστεως Χριστοῦ, τὴν ἐκ θεοῦ δικαιοσύνην ἐπὶ τῇ πίστει,",ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
NA28,Colossians 4:18,Ὁ ἀσπασμὸς τῇ,ἐμῇ,χειρὶ Παύλου. μνημονεύετέ μου τῶν δεσμῶν. ἡ χάρις μεθʼ ὑμῶν.,ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
NA28,2 Thessalonians 3:17,Ὁ ἀσπασμὸς τῇ,ἐμῇ,"χειρὶ Παύλου, ὅ ἐστιν σημεῖον ἐν πάσῃ ἐπιστολῇ· οὕτως γράφω.",ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
NA28,Philemon 12,"ὃν ἀνέπεμψά σοι, αὐτόν, τοῦτʼ ἔστιν τὰ",ἐμὰ,σπλάγχνα·,ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
NA28,Philemon 19,ἐγὼ Παῦλος ἔγραψα τῇ,ἐμῇ,"χειρί, ἐγὼ ἀποτίσω· ἵνα μὴ λέγω σοι ὅτι καὶ σεαυτόν μοι προσοφείλεις.",ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
NA28,2 Peter 1:15,σπουδάσω δὲ καὶ ἑκάστοτε ἔχειν ὑμᾶς μετὰ τὴν,ἐμὴν,ἔξοδον τὴν τούτων μνήμην ποιεῖσθαι.,ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
NA28,3 John 4,"μειζοτέραν τούτων οὐκ ἔχω χαράν, ἵνα ἀκούω τὰ",ἐμὰ,τέκνα ἐν ἀληθείᾳ περιπατοῦντα.,ἐμός,Louw Nida 92.2,εγω,"adjective, pronoun",—
