Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Acts 22:19,—,κἀγὼ,"εἶπον· κύριε, αὐτοὶ ἐπίστανται ὅτι ἐγὼ ἤμην φυλακίζων καὶ δέρων κατὰ τὰς συναγωγὰς τοὺς πιστεύοντας ἐπὶ σέ,",κἀγώ,"LN 89.87, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,Romans 3:7,"εἰ δὲ ἡ ἀλήθεια τοῦ θεοῦ ἐν τῷ ἐμῷ ψεύσματι ἐπερίσσευσεν εἰς τὴν δόξαν αὐτοῦ, τί ἔτι",κἀγὼ,ὡς ἁμαρτωλὸς κρίνομαι;,κἀγώ,"LN 91.12, LN 92.1","και, εγω","pronoun, particle",emphatic
NA28,Romans 11:3,"κύριε, τοὺς προφήτας σου ἀπέκτειναν, τὰ θυσιαστήριά σου κατέσκαψαν,",κἀγὼ,ὑπελείφθην μόνος καὶ ζητοῦσιν τὴν ψυχήν μου.,κἀγώ,"LN 89.92, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,1 Corinthians 2:1,—,Κἀγὼ,"ἐλθὼν πρὸς ὑμᾶς, ἀδελφοί, ἦλθον οὐ καθʼ ὑπεροχὴν λόγου ἢ σοφίας καταγγέλλων ὑμῖν τὸ μυστήριον τοῦ θεοῦ.",κἀγώ,"LN 91.1, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,1 Corinthians 2:3,—,κἀγὼ,"ἐν ἀσθενείᾳ καὶ ἐν φόβῳ καὶ ἐν τρόμῳ πολλῷ ἐγενόμην πρὸς ὑμᾶς,",κἀγώ,"LN 89.87, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,1 Corinthians 3:1,—,Κἀγώ,", ἀδελφοί, οὐκ ἠδυνήθην λαλῆσαι ὑμῖν ὡς πνευματικοῖς ἀλλʼ ὡς σαρκίνοις, ὡς νηπίοις ἐν Χριστῷ.",κἀγώ,"LN 91.1, LN 92.1","και, εγω","pronoun, conjunction",—
NA28,1 Corinthians 7:8,"Λέγω δὲ τοῖς ἀγάμοις καὶ ταῖς χήραις, καλὸν αὐτοῖς ἐὰν μείνωσιν ὡς",κἀγώ,·,κἀγώ,"LN 89.93, LN 92.1","και, εγω","pronoun, particle",emphatic
NA28,1 Corinthians 7:40,"μακαριωτέρα δέ ἐστιν ἐὰν οὕτως μείνῃ, κατὰ τὴν ἐμὴν γνώμην· δοκῶ δὲ",κἀγὼ,πνεῦμα θεοῦ ἔχειν.,κἀγώ,"LN 89.93, LN 92.1","και, εγω","pronoun, particle",emphatic
NA28,1 Corinthians 10:33,καθὼς,κἀγὼ,"πάντα πᾶσιν ἀρέσκω μὴ ζητῶν τὸ ἐμαυτοῦ σύμφορον ἀλλὰ τὸ τῶν πολλῶν, ἵνα σωθῶσιν.",κἀγώ,"LN 89.93, LN 92.1","και, εγω","pronoun, particle",emphatic
NA28,1 Corinthians 11:1,μιμηταί μου γίνεσθε καθὼς,κἀγὼ,Χριστοῦ.,κἀγώ,"LN 89.93, LN 92.1","και, εγω","pronoun, particle",emphatic
NA28,1 Corinthians 15:8,ἔσχατον δὲ πάντων ὡσπερεὶ τῷ ἐκτρώματι ὤφθη,κἀμοί,.,κἀγώ,"LN 89.93, LN 92.1","και, εγω","pronoun, particle",emphatic
NA28,1 Corinthians 16:4,ἐὰν δὲ ἄξιον ᾖ τοῦ,κἀμὲ,"πορεύεσθαι, σὺν ἐμοὶ πορεύσονται.",κἀγώ,"LN 89.93, LN 92.1","και, εγω","pronoun, particle",emphatic
