Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
τέκνα,τέκνον,—,—,—,—,neuter,"nominative, accusative",plural,1 Peter 3:6,ὡς Σάρρα ὑπήκουσεν τῷ Ἀβραὰμ κύριον αὐτὸν καλοῦσα ἧς ἐγενήθητε,ἀγαθοποιοῦσαι καὶ μὴ φοβούμεναι μηδεμίαν πτόησιν.
τέκνα,τέκνον,—,—,—,—,neuter,nominative,plural,2 Peter 2:14,"ὀφθαλμοὺς ἔχοντες μεστοὺς μοιχαλίδος καὶ ἀκαταπαύστους ἁμαρτίας, δελεάζοντες ψυχὰς ἀστηρίκτους, καρδίαν γεγυμνασμένην πλεονεξίας ἔχοντες, κατάρας",.
τέκνα,τέκνον,—,—,—,—,neuter,"nominative, accusative",plural,1 John 3:1,"Ἴδετε ποταπὴν ἀγάπην δέδωκεν ἡμῖν ὁ πατήρ, ἵνα","θεοῦ κληθῶμεν, καὶ ἐσμέν. διὰ τοῦτο ὁ κόσμος οὐ γινώσκει ἡμᾶς, ὅτι οὐκ ἔγνω αὐτόν."
τέκνα,τέκνον,—,—,—,—,neuter,nominative,plural,1 John 3:2,ἀγαπητοὶ νῦν,"θεοῦ ἐσμεν, καὶ οὔπω ἐφανερώθη τί ἐσόμεθα. οἴδαμεν  ὅτι ἐὰν φανερωθῇ, ὅμοιοι αὐτῷ"
τέκνα,τέκνον,—,—,—,—,neuter,nominative,plural,1 John 3:10,ἐν τούτῳ φανερά ἐστιν τὰ,τοῦ θεοῦ καὶ τὰ τέκνα τοῦ διαβόλου· πᾶς ὁ μὴ ποιῶν δικαιοσύνην οὐκ
τέκνα,τέκνον,—,—,—,—,neuter,nominative,plural,1 John 3:10,ἐν τούτῳ φανερά ἐστιν τὰ τέκνα τοῦ θεοῦ καὶ τὰ,τοῦ διαβόλου· πᾶς ὁ μὴ ποιῶν δικαιοσύνην οὐκ ἔστιν ἐκ τοῦ θεοῦ καὶ
τέκνα,τέκνον,—,—,—,—,neuter,accusative,plural,1 John 5:2,ἐν τούτῳ γινώσκομεν ὅτι ἀγαπῶμεν τὰ,"τοῦ θεοῦ, ὅταν τὸν θεὸν ἀγαπῶμεν καὶ τὰς ἐντολὰς αὐτοῦ ποιῶμεν."
τέκνοις,τέκνον,—,—,—,—,neuter,dative,plural,2 John 1,Ὁ πρεσβύτερος ἐκλεκτῇ κυρίᾳ καὶ τοῖς,"αὐτῆς, οὓς ἐγὼ ἀγαπῶ ἐν ἀληθείᾳ, καὶ οὐκ ἐγὼ μόνος ἀλλὰ καὶ πάντες οἱ ἐγνωκότες τὴν ἀλήθειαν,"
τέκνων,τέκνον,—,—,—,—,neuter,genitive,plural,2 John 4,Ἐχάρην λίαν ὅτι εὕρηκα ἐκ τῶν,"σου περιπατοῦντας ἐν ἀληθείᾳ, καθὼς ἐντολὴν ἐλάβομεν παρὰ τοῦ πατρός."
τέκνα,τέκνον,—,—,—,—,neuter,nominative,plural,2 John 13,Ἀσπάζεταί σε τὰ,τῆς ἀδελφῆς σου τῆς ἐκλεκτῆς.
τέκνα,τέκνον,—,—,—,—,neuter,accusative,plural,3 John 4,"μειζοτέραν τούτων οὐκ ἔχω χαράν, ἵνα ἀκούω τὰ ἐμὰ",ἐν ἀληθείᾳ περιπατοῦντα.
τέκνα,τέκνον,—,—,—,—,neuter,accusative,plural,Revelation 2:23,καὶ τὰ,αὐτῆς ἀποκτενῶ ἐν θανάτῳ. καὶ γνώσονται πᾶσαι αἱ ἐκκλησίαι ὅτι ἐγώ εἰμι ὁ
τέκνον,τέκνον,—,—,—,—,neuter,accusative,singular,Revelation 12:4,"δράκων ἕστηκεν ἐνώπιον τῆς γυναικὸς τῆς μελλούσης τεκεῖν, ἵνα ὅταν τέκῃ τὸ",αὐτῆς καταφάγῃ.
τέκνον,τέκνον,—,—,—,—,neuter,nominative,singular,Revelation 12:5,"καὶ ἔτεκεν υἱὸν ἄρσεν, ὃς μέλλει ποιμαίνειν πάντα τὰ ἔθνη ἐν ῥάβδῳ σιδηρᾷ. καὶ ἡρπάσθη τὸ",αὐτῆς πρὸς τὸν θεὸν καὶ πρὸς τὸν θρόνον αὐτοῦ.
