Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
ἔλυσεν,λύω,aorist,active,indicative,third person,singular,Acts 22:30,"Τῇ δὲ ἐπαύριον βουλόμενος γνῶναι τὸ ἀσφαλές, τὸ τί κατηγορεῖται ὑπὸ τῶν Ἰουδαίων,","αὐτὸν  καὶ ἐκέλευσεν συνελθεῖν τοὺς ἀρχιερεῖς καὶ πᾶν τὸ συνέδριον, καὶ καταγαγὼν τὸν Παῦλον ἔστησεν εἰς αὐτούς."
ἔλυεν,λύω,imperfect,active,indicative,third person,singular,John 5:18,"διὰ τοῦτο οὖν μᾶλλον ἐζήτουν αὐτὸν οἱ Ἰουδαῖοι ἀποκτεῖναι, ὅτι οὐ μόνον","τὸ σάββατον, ἀλλὰ καὶ πατέρα ἴδιον ἔλεγεν τὸν θεὸν ἴσον ἑαυτὸν ποιῶν τῷ θεῷ."
ἐλύθησαν,λύω,aorist,passive,indicative,third person,plural,Revelation 9:15,καὶ,οἱ τέσσαρες ἄγγελοι οἱ ἡτοιμασμένοι εἰς τὴν ὥραν καὶ ἡμέραν καὶ μῆνα καὶ
ἐλύθη,λύω,aorist,passive,indicative,third person,singular,Mark 7:35,"καὶ [εὐθέως] ἠνοίγησαν αὐτοῦ αἱ ἀκοαί, καὶ",ὁ δεσμὸς τῆς γλώσσης αὐτοῦ καὶ ἐλάλει ὀρθῶς.
ἐλύετο,λύω,imperfect,passive,indicative,third person,singular,Acts 27:41,"περιπεσόντες δὲ εἰς τόπον διθάλασσον ἐπέκειλαν τὴν ναῦν καὶ ἡ μὲν πρῷρα ἐρείσασα ἔμεινεν ἀσάλευτος, ἡ δὲ πρύμνα",ὑπὸ τῆς βίας [τῶν κυμάτων].
λῦσον,λύω,aorist,active,imperative,second person,singular,Acts 7:33,εἶπεν δὲ αὐτῷ ὁ κύριος·,"τὸ ὑπόδημα τῶν ποδῶν σου, ὁ γὰρ τόπος ἐφʼ ᾧ ἕστηκας γῆ ἁγία ἐστίν."
λῦσον,λύω,aorist,active,imperative,second person,singular,Revelation 9:14,"λέγοντα τῷ ἕκτῳ ἀγγέλῳ, ὁ ἔχων τὴν σάλπιγγα·",τοὺς τέσσαρας ἀγγέλους τοὺς δεδεμένους ἐπὶ τῷ ποταμῷ τῷ μεγάλῳ Εὐφράτῃ.
λῦσαι,λύω,aorist,active,infinitive,—,—,Mark 1:7,"Καὶ ἐκήρυσσεν λέγων· ἔρχεται ὁ ἰσχυρότερός μου ὀπίσω μου, οὗ οὐκ εἰμὶ ἱκανὸς κύψας",τὸν ἱμάντα τῶν ὑποδημάτων αὐτοῦ.
λῦσαι,λύω,aorist,active,infinitive,—,—,Luke 3:16,"ὕδατι βαπτίζω ὑμᾶς· ἔρχεται δὲ ὁ ἰσχυρότερός μου, οὗ οὐκ εἰμὶ ἱκανὸς",τὸν ἱμάντα τῶν ὑποδημάτων αὐτοῦ· αὐτὸς ὑμᾶς βαπτίσει ἐν πνεύματι ἁγίῳ καὶ πυρί· οὗ
λῦσαι,λύω,aorist,active,infinitive,—,—,Acts 13:25,ἰδοὺ ἔρχεται μετʼ ἐμὲ οὗ οὐκ εἰμὶ ἄξιος τὸ ὑπόδημα τῶν ποδῶν,.
λῦσαι,λύω,aorist,active,infinitive,—,—,Revelation 5:2,καὶ εἶδον ἄγγελον ἰσχυρὸν κηρύσσοντα ἐν φωνῇ μεγάλῃ· τίς ἄξιος  ἀνοῖξαι τὸ βιβλίον καὶ,τὰς σφραγῖδας αὐτοῦ;
λύσῃς,λύω,aorist,active,subjunctive,second person,singular,Matthew 16:19,"δήσῃς ἐπὶ τῆς γῆς ἔσται δεδεμένον ἐν τοῖς οὐρανοῖς, καὶ ὃ ἐὰν",ἐπὶ τῆς γῆς ἔσται λελυμένον ἐν τοῖς οὐρανοῖς.
λύσῃ,λύω,aorist,active,subjunctive,third person,singular,Matthew 5:19,ὃς ἐὰν οὖν,"μίαν τῶν ἐντολῶν τούτων τῶν ἐλαχίστων καὶ διδάξῃ οὕτως τοὺς ἀνθρώπους, ἐλάχιστος κληθήσεται"
λύσῃ,λύω,aorist,active,subjunctive,third person,singular,1 John 3:8,"ἀρχῆς ὁ διάβολος ἁμαρτάνει. εἰς τοῦτο ἐφανερώθη ὁ υἱὸς τοῦ θεοῦ, ἵνα",τὰ ἔργα τοῦ διαβόλου.
λύσω,λύω,aorist,active,subjunctive,first person,singular,John 1:27,"ὁ ὀπίσω μου ἐρχόμενος , οὗ οὐκ εἰμὶ [ἐγὼ] ἄξιος ἵνα",αὐτοῦ τὸν ἱμάντα τοῦ ὑποδήματος.
λύσητε,λύω,aorist,active,subjunctive,second person,plural,Matthew 18:18,"Ἀμὴν λέγω ὑμῖν· ὅσα ἐὰν δήσητε ἐπὶ τῆς γῆς ἔσται δεδεμένα ἐν οὐρανῷ, καὶ ὅσα ἐὰν",ἐπὶ τῆς γῆς ἔσται λελυμένα ἐν οὐρανῷ.
λύσατε,λύω,aorist,active,imperative,second person,plural,Mark 11:2,εἰσπορευόμενοι εἰς αὐτὴν εὑρήσετε πῶλον δεδεμένον ἐφʼ ὃν οὐδεὶς οὔπω ἀνθρώπων ἐκάθισεν·,αὐτὸν καὶ φέρετε.
λύσατε,λύω,aorist,active,imperative,second person,plural,John 2:19,ἀπεκρίθη Ἰησοῦς καὶ εἶπεν αὐτοῖς·,τὸν ναὸν τοῦτον καὶ ἐν τρισὶν ἡμέραις ἐγερῶ αὐτόν.
λύσατε,λύω,aorist,active,imperative,second person,plural,John 11:44,χεῖρας κειρίαις καὶ ἡ ὄψις αὐτοῦ σουδαρίῳ περιεδέδετο. λέγει αὐτοῖς ὁ Ἰησοῦς·,αὐτὸν καὶ ἄφετε αὐτὸν ὑπάγειν.
λύσας,λύω,aorist,active,participle,—,singular,Acts 2:24,ὃν ὁ θεὸς ἀνέστησεν,"τὰς ὠδῖνας τοῦ θανάτου, καθότι οὐκ ἦν δυνατὸν κρατεῖσθαι αὐτὸν ὑπʼ αὐτοῦ."
λύσας,λύω,aorist,active,participle,—,singular,Ephesians 2:14,"Αὐτὸς γάρ ἐστιν ἡ εἰρήνη ἡμῶν, ὁ ποιήσας τὰ ἀμφότερα ἓν καὶ τὸ μεσότοιχον τοῦ φραγμοῦ",", τὴν ἔχθραν ἐν τῇ σαρκὶ αὐτοῦ,"
λύσαντι,λύω,aorist,active,participle,—,singular,Revelation 1:5,νεκρῶν καὶ ὁ ἄρχων τῶν βασιλέων τῆς γῆς. Τῷ ἀγαπῶντι ἡμᾶς καὶ,"ἡμᾶς ἐκ τῶν ἁμαρτιῶν ἡμῶν ἐν τῷ αἵματι αὐτοῦ,"
λύσαντες,λύω,aorist,active,participle,—,plural,Matthew 21:2,"λέγων αὐτοῖς· πορεύεσθε εἰς τὴν κώμην τὴν κατέναντι ὑμῶν, καὶ εὐθέως εὑρήσετε ὄνον δεδεμένην καὶ πῶλον μετʼ αὐτῆς·",ἀγάγετέ μοι.
λύσαντες,λύω,aorist,active,participle,—,plural,Luke 19:30,"ᾗ εἰσπορευόμενοι εὑρήσετε πῶλον δεδεμένον, ἐφʼ ὃν οὐδεὶς πώποτε ἀνθρώπων ἐκάθισεν, καὶ",αὐτὸν ἀγάγετε.
λύουσιν,λύω,present,active,indicative,third person,plural,Mark 11:4,Καὶ ἀπῆλθον καὶ εὗρον  πῶλον δεδεμένον πρὸς  θύραν ἔξω ἐπὶ τοῦ ἀμφόδου καὶ,αὐτόν.
λύοντες,λύω,present,active,participle,—,plural,Mark 11:5,καί τινες τῶν ἐκεῖ ἑστηκότων ἔλεγον αὐτοῖς· τί ποιεῖτε,τὸν πῶλον;
λύετε,λύω,present,active,indicative,second person,plural,Luke 19:31,καὶ ἐάν τις ὑμᾶς ἐρωτᾷ· διὰ τί,; οὕτως ἐρεῖτε· ὅτι ὁ κύριος αὐτοῦ χρείαν ἔχει.
λύετε,λύω,present,active,indicative,second person,plural,Luke 19:33,λυόντων δὲ αὐτῶν τὸν πῶλον εἶπαν οἱ κύριοι αὐτοῦ πρὸς αὐτούς· τί,τὸν πῶλον;
λύει,λύω,present,active,indicative,third person,singular,Luke 13:15,"ἀπεκρίθη δὲ αὐτῷ ὁ κύριος καὶ εἶπεν· ὑποκριταί, ἕκαστος ὑμῶν τῷ σαββάτῳ οὐ",τὸν βοῦν αὐτοῦ ἢ τὸν ὄνον ἀπὸ τῆς φάτνης καὶ ἀπαγαγὼν ποτίζει;
λυόντων,λύω,present,active,participle,—,plural,Luke 19:33,—,δὲ αὐτῶν τὸν πῶλον εἶπαν οἱ κύριοι αὐτοῦ πρὸς αὐτούς· τί λύετε τὸν πῶλον;
λυομένων,λύω,present,passive,participle,—,plural,2 Peter 3:11,Τούτων οὕτως πάντων,ποταποὺς δεῖ ὑπάρχειν ὑμᾶς ἐν ἁγίαις ἀναστροφαῖς καὶ εὐσεβείαις
