Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Romans 2:2,οἴδαμεν δὲ ὅτι τὸ κρίμα τοῦ θεοῦ ἐστιν κατὰ ἀλήθειαν ἐπὶ τοὺς τὰ,τοιαῦτα,πράσσοντας.,τοιοῦτος,Louw Nida 64.2,"ο, ουτος",pronoun,—
NA28,Romans 2:3,"λογίζῃ δὲ τοῦτο, ὦ ἄνθρωπε ὁ κρίνων τοὺς τὰ",τοιαῦτα,"πράσσοντας καὶ ποιῶν αὐτά, ὅτι σὺ ἐκφεύξῃ τὸ κρίμα τοῦ θεοῦ;",τοιοῦτος,Louw Nida 64.2,"ο, ουτος",pronoun,—
NA28,Romans 16:18,οἱ γὰρ,τοιοῦτοι,"τῷ κυρίῳ ἡμῶν Χριστῷ οὐ δουλεύουσιν ἀλλὰ τῇ ἑαυτῶν κοιλίᾳ, καὶ διὰ τῆς",τοιοῦτος,Louw Nida 64.2,"ο, ουτος",pronoun,—
NA28,1 Corinthians 5:1,"Ὅλως ἀκούεται ἐν ὑμῖν πορνεία, καὶ",τοιαύτη,"πορνεία ἥτις οὐδὲ ἐν τοῖς ἔθνεσιν, ὥστε γυναῖκά τινα τοῦ πατρὸς ἔχειν.",τοιοῦτος,Louw Nida 64.2,"ο, ουτος","adjective, pronoun",—
NA28,1 Corinthians 5:5,παραδοῦναι τὸν,τοιοῦτον,"τῷ σατανᾷ εἰς ὄλεθρον τῆς σαρκός, ἵνα τὸ πνεῦμα σωθῇ ἐν τῇ ἡμέρᾳ τοῦ κυρίου.",τοιοῦτος,Louw Nida 64.2,"ο, ουτος",pronoun,—
NA28,1 Corinthians 5:11,"πόρνος ἢ πλεονέκτης ἢ εἰδωλολάτρης ἢ λοίδορος ἢ μέθυσος ἢ ἅρπαξ, τῷ",τοιούτῳ,μηδὲ συνεσθίειν.,τοιοῦτος,Louw Nida 64.2,"ο, ουτος",pronoun,—
NA28,1 Corinthians 7:15,"εἰ δὲ ὁ ἄπιστος χωρίζεται, χωριζέσθω· οὐ δεδούλωται ὁ ἀδελφὸς ἢ ἡ ἀδελφὴ ἐν τοῖς",τοιούτοις,· ἐν δὲ εἰρήνῃ κέκληκεν ὑμᾶς ὁ θεός.,τοιοῦτος,Louw Nida 64.2,"ο, ουτος",pronoun,—
NA28,1 Corinthians 7:28,"ἐὰν γήμῃ ἡ παρθένος, οὐχ ἥμαρτεν· θλῖψιν δὲ τῇ σαρκὶ ἕξουσιν οἱ",τοιοῦτοι,", ἐγὼ δὲ ὑμῶν φείδομαι.",τοιοῦτος,Louw Nida 64.2,"ο, ουτος",pronoun,—
NA28,1 Corinthians 11:16,"Εἰ δέ τις δοκεῖ φιλόνεικος εἶναι, ἡμεῖς",τοιαύτην,συνήθειαν οὐκ ἔχομεν οὐδὲ αἱ ἐκκλησίαι τοῦ θεοῦ.  Τοῦτο,τοιοῦτος,Louw Nida 64.2,"ο, ουτος",pronoun,—
NA28,1 Corinthians 15:48,"οἷος ὁ χοϊκός,",τοιοῦτοι,"καὶ οἱ χοϊκοί, καὶ οἷος ὁ ἐπουράνιος, τοιοῦτοι καὶ οἱ ἐπουράνιοι·",τοιοῦτος,Louw Nida 92.31,"ο, ουτος",pronoun,—
