Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
ἐπίστευσαν,πιστεύω,aorist,active,indicative,third person,—,—,plural,Mark 16:13,κἀκεῖνοι ἀπελθόντες ἀπήγγειλαν τοῖς λοιποῖς· οὐδὲ ἐκείνοις,.
ἐπίστευσαν,πιστεύω,aorist,active,indicative,third person,—,—,plural,Mark 16:14,ὠνείδισεν τὴν ἀπιστίαν αὐτῶν καὶ σκληροκαρδίαν ὅτι τοῖς θεασαμένοις αὐτὸν ἐγηγερμένον  οὐκ,.
πιστεύσας,πιστεύω,aorist,active,participle,—,masculine,nominative,singular,Mark 16:16,ὁ,"καὶ βαπτισθεὶς σωθήσεται, ὁ δὲ ἀπιστήσας κατακριθήσεται."
πιστεύσασιν,πιστεύω,aorist,active,participle,—,masculine,dative,plural,Mark 16:17,σημεῖα δὲ τοῖς,"ταῦτα παρακολουθήσει·  ἐν τῷ ὀνόματί μου δαιμόνια ἐκβαλοῦσιν, γλώσσαις λαλήσουσιν καιναῖς,"
ἐπίστευσας,πιστεύω,aorist,active,indicative,second person,—,—,singular,Luke 1:20,"καὶ ἰδοὺ ἔσῃ σιωπῶν καὶ μὴ δυνάμενος λαλῆσαι ἄχρι ἧς ἡμέρας γένηται ταῦτα, ἀνθʼ ὧν οὐκ","τοῖς λόγοις μου, οἵτινες πληρωθήσονται εἰς τὸν καιρὸν αὐτῶν."
πιστεύσασα,πιστεύω,aorist,active,participle,—,feminine,nominative,singular,Luke 1:45,καὶ μακαρία ἡ,ὅτι ἔσται τελείωσις τοῖς λελαλημένοις αὐτῇ παρὰ κυρίου.
πιστεύσαντες,πιστεύω,aorist,active,participle,—,masculine,nominative,plural,Luke 8:12,"ὁ διάβολος καὶ αἴρει τὸν λόγον ἀπὸ τῆς καρδίας αὐτῶν, ἵνα μὴ",σωθῶσιν.
πιστεύουσιν,πιστεύω,present,active,indicative,third person,—,—,plural,Luke 8:13,"χαρᾶς δέχονται τὸν λόγον, καὶ οὗτοι ῥίζαν οὐκ ἔχουσιν, οἳ πρὸς καιρὸν",καὶ ἐν καιρῷ πειρασμοῦ ἀφίστανται.
πίστευσον,πιστεύω,aorist,active,imperative,second person,—,—,singular,Luke 8:50,"ὁ δὲ Ἰησοῦς ἀκούσας ἀπεκρίθη αὐτῷ· μὴ φοβοῦ, μόνον",", καὶ σωθήσεται."
πιστεύσει,πιστεύω,future,active,indicative,third person,—,—,singular,Luke 16:11,"εἰ οὖν ἐν τῷ ἀδίκῳ μαμωνᾷ πιστοὶ οὐκ ἐγένεσθε, τὸ ἀληθινὸν τίς ὑμῖν",;
ἐπιστεύσατε,πιστεύω,aorist,active,indicative,second person,—,—,plural,Luke 20:5,"οἱ δὲ συνελογίσαντο πρὸς ἑαυτοὺς λέγοντες ὅτι ἐὰν εἴπωμεν· ἐξ οὐρανοῦ, ἐρεῖ· διὰ τί  οὐκ",αὐτῷ;
πιστεύσητε,πιστεύω,aorist,active,subjunctive,second person,—,—,plural,Luke 22:67,"λέγοντες· εἰ σὺ εἶ ὁ χριστός, εἰπὸν ἡμῖν. εἶπεν δὲ αὐτοῖς· ἐὰν ὑμῖν εἴπω, οὐ μὴ",·
πιστεύειν,πιστεύω,present,active,infinitive,—,—,—,—,Luke 24:25,Καὶ αὐτὸς εἶπεν πρὸς αὐτούς· ὦ ἀνόητοι καὶ βραδεῖς τῇ καρδίᾳ τοῦ,ἐπὶ πᾶσιν οἷς ἐλάλησαν οἱ προφῆται·
πιστεύσωσιν,πιστεύω,aorist,active,subjunctive,third person,—,—,plural,John 1:7,"οὗτος ἦλθεν εἰς μαρτυρίαν ἵνα μαρτυρήσῃ περὶ τοῦ φωτός, ἵνα πάντες",διʼ αὐτοῦ.
πιστεύουσιν,πιστεύω,present,active,participle,—,masculine,dative,plural,John 1:12,"ὅσοι δὲ ἔλαβον αὐτόν, ἔδωκεν αὐτοῖς ἐξουσίαν τέκνα θεοῦ γενέσθαι, τοῖς","εἰς τὸ ὄνομα αὐτοῦ,"
πιστεύεις,πιστεύω,present,active,indicative,second person,—,—,singular,John 1:50,"ἀπεκρίθη Ἰησοῦς καὶ εἶπεν αὐτῷ· ὅτι εἶπόν σοι ὅτι εἶδόν σε ὑποκάτω τῆς συκῆς,",; μείζω τούτων ὄψῃ.
ἐπίστευσαν,πιστεύω,aorist,active,indicative,third person,—,—,plural,John 2:11,"Ταύτην ἐποίησεν ἀρχὴν τῶν σημείων ὁ Ἰησοῦς ἐν Κανὰ τῆς Γαλιλαίας καὶ ἐφανέρωσεν τὴν δόξαν αὐτοῦ, καὶ",εἰς αὐτὸν οἱ μαθηταὶ αὐτοῦ.
ἐπίστευσαν,πιστεύω,aorist,active,indicative,third person,—,—,plural,John 2:22,"ὅτε οὖν ἠγέρθη ἐκ νεκρῶν, ἐμνήσθησαν οἱ μαθηταὶ αὐτοῦ ὅτι τοῦτο ἔλεγεν, καὶ",τῇ γραφῇ καὶ τῷ λόγῳ ὃν εἶπεν ὁ Ἰησοῦς.
ἐπίστευσαν,πιστεύω,aorist,active,indicative,third person,—,—,plural,John 2:23,"Ὡς δὲ ἦν ἐν τοῖς Ἱεροσολύμοις ἐν τῷ πάσχα ἐν τῇ ἑορτῇ, πολλοὶ",εἰς τὸ ὄνομα αὐτοῦ θεωροῦντες αὐτοῦ τὰ σημεῖα ἃ ἐποίει·
ἐπίστευεν,πιστεύω,imperfect,active,indicative,third person,—,—,singular,John 2:24,αὐτὸς δὲ Ἰησοῦς οὐκ,αὐτὸν αὐτοῖς διὰ τὸ αὐτὸν γινώσκειν πάντας
πιστεύετε,πιστεύω,present,active,indicative,second person,—,—,plural,John 3:12,εἰ τὰ ἐπίγεια εἶπον ὑμῖν καὶ οὐ,", πῶς ἐὰν εἴπω ὑμῖν τὰ ἐπουράνια πιστεύσετε;"
πιστεύσετε,πιστεύω,future,active,indicative,second person,—,—,plural,John 3:12,"εἰ τὰ ἐπίγεια εἶπον ὑμῖν καὶ οὐ πιστεύετε, πῶς ἐὰν εἴπω ὑμῖν τὰ ἐπουράνια",;
πιστεύων,πιστεύω,present,active,participle,—,masculine,nominative,singular,John 3:15,ἵνα πᾶς ὁ,ἐν αὐτῷ  ἔχῃ ζωὴν αἰώνιον.
