Lemma	Gloss	Part	Chapter
αὐτός	he	pronoun	16
ἑαυτοῦ	oneself	pronoun	16
ἐγώ	I; we	pronoun	16
ἐμαυτοῦ	myself	pronoun	16
ἐμός	my	pronoun	16
ἴδιος	one's own	pronoun	16
σεαυτοῦ	yourself	pronoun	16
σύ	you	pronoun	16
ἐκεῖνος	that; that one	pronoun	17
οὗτος	this (demons. pron.)	pronoun	17
τίς	what; who; why	pronoun	17
τὶς	anyone; some; someone	pronoun	17
ἀλλήλων	one another	pronoun	23
ὅς	rel. who; rel. which	pronoun	23
ὅσος	whatever; as many as	pronoun	23
τοιοῦτος	such as this; such	pronoun	23
κἀγώ	and + I; and I	pronoun	25
