Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Matthew 9:20,Καὶ,ἰδοὺ,γυνὴ αἱμορροοῦσα δώδεκα ἔτη  προσελθοῦσα ὄπισθεν ἥψατο τοῦ κρασπέδου τοῦ ἱματίου αὐτοῦ·,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 9:32,Αὐτῶν δὲ ἐξερχομένων,ἰδοὺ,προσήνεγκαν αὐτῷ ἄνθρωπον κωφὸν δαιμονιζόμενον.,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 10:16,—,Ἰδοὺ,ἐγὼ ἀποστέλλω ὑμᾶς ὡς πρόβατα ἐν μέσῳ λύκων· γίνεσθε οὖν φρόνιμοι ὡς οἱ,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 11:8,ἀλλὰ τί ἐξήλθατε ἰδεῖν; ἄνθρωπον ἐν μαλακοῖς  ἠμφιεσμένον;,ἰδοὺ,οἱ τὰ μαλακὰ φοροῦντες ἐν τοῖς οἴκοις τῶν βασιλέων εἰσίν.,ἰδού,Louw Nida 91.10,ειδος,"interjection, verb",—
NA28,Matthew 11:10,οὗτός  ἐστιν περὶ οὗ γέγραπται·,ἰδοὺ,"ἐγὼ ἀποστέλλω τὸν ἄγγελόν μου πρὸ προσώπου σου,        ὃς κατασκευάσει τὴν ὁδόν σου ἔμπροσθέν σου.",ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 11:19,"ἦλθεν ὁ υἱὸς τοῦ ἀνθρώπου ἐσθίων καὶ πίνων, καὶ λέγουσιν·",ἰδοὺ,"ἄνθρωπος φάγος καὶ οἰνοπότης, τελωνῶν φίλος καὶ ἁμαρτωλῶν. καὶ ἐδικαιώθη ἡ σοφία ἀπὸ τῶν ἔργων αὐτῆς.",ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 12:2,οἱ δὲ Φαρισαῖοι ἰδόντες  εἶπαν αὐτῷ·,ἰδοὺ,οἱ μαθηταί σου ποιοῦσιν ὃ οὐκ ἔξεστιν ποιεῖν ἐν σαββάτῳ.,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 12:10,καὶ,ἰδοὺ,ἄνθρωπος  χεῖρα ἔχων ξηράν. καὶ ἐπηρώτησαν αὐτὸν λέγοντες· εἰ ἔξεστιν τοῖς σάββασιν θεραπεῦσαι; ἵνα κατηγορήσωσιν αὐτοῦ.,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 12:18,—,ἰδοὺ,"ὁ παῖς μου  ὃν ᾑρέτισα,           ὁ ἀγαπητός μου εἰς ὃν εὐδόκησεν ἡ ψυχή",ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 12:41,"γενεᾶς ταύτης καὶ κατακρινοῦσιν αὐτήν, ὅτι μετενόησαν εἰς τὸ κήρυγμα Ἰωνᾶ, καὶ",ἰδοὺ,πλεῖον Ἰωνᾶ ὧδε.,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 12:42,"ὅτι ἦλθεν ἐκ τῶν περάτων τῆς γῆς ἀκοῦσαι τὴν σοφίαν Σολομῶνος, καὶ",ἰδοὺ,πλεῖον Σολομῶνος ὧδε.,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 12:46,Ἔτι αὐτοῦ λαλοῦντος τοῖς ὄχλοις,ἰδοὺ,ἡ μήτηρ καὶ οἱ ἀδελφοὶ αὐτοῦ εἱστήκεισαν ἔξω ζητοῦντες αὐτῷ λαλῆσαι.,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 12:47,εἶπεν δέ τις αὐτῷ·,ἰδοὺ,ἡ μήτηρ σου καὶ οἱ ἀδελφοί σου ἔξω ἑστήκασιν ζητοῦντές σοι λαλῆσαι.],ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 12:49,καὶ ἐκτείνας τὴν χεῖρα αὐτοῦ ἐπὶ τοὺς μαθητὰς αὐτοῦ εἶπεν·,ἰδοὺ,ἡ μήτηρ μου καὶ οἱ ἀδελφοί μου.,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 13:3,Καὶ ἐλάλησεν αὐτοῖς πολλὰ ἐν παραβολαῖς λέγων·,ἰδοὺ,ἐξῆλθεν ὁ σπείρων τοῦ σπείρειν.,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 15:22,καὶ,ἰδοὺ,"γυνὴ Χαναναία ἀπὸ τῶν ὁρίων ἐκείνων ἐξελθοῦσα ἔκραζεν  λέγουσα· ἐλέησόν με, κύριε υἱὸς",ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 17:3,καὶ,ἰδοὺ,ὤφθη αὐτοῖς Μωϋσῆς καὶ Ἠλίας συλλαλοῦντες μετʼ αὐτοῦ.,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 17:5,ἔτι αὐτοῦ λαλοῦντος,ἰδοὺ,"νεφέλη φωτεινὴ ἐπεσκίασεν αὐτούς, καὶ ἰδοὺ φωνὴ ἐκ τῆς νεφέλης λέγουσα· οὗτός ἐστιν",ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 17:5,"ἔτι αὐτοῦ λαλοῦντος ἰδοὺ νεφέλη φωτεινὴ ἐπεσκίασεν αὐτούς, καὶ",ἰδοὺ,"φωνὴ ἐκ τῆς νεφέλης λέγουσα· οὗτός ἐστιν ὁ υἱός μου ὁ ἀγαπητός, ἐν ᾧ εὐδόκησα· ἀκούετε αὐτοῦ.",ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 19:16,Καὶ,ἰδοὺ,"εἷς προσελθὼν αὐτῷ εἶπεν·  διδάσκαλε , τί ἀγαθὸν ποιήσω ἵνα σχῶ ζωὴν αἰώνιον;",ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 19:27,Τότε ἀποκριθεὶς ὁ Πέτρος εἶπεν αὐτῷ·,ἰδοὺ,ἡμεῖς ἀφήκαμεν πάντα καὶ ἠκολουθήσαμέν σοι· τί ἄρα ἔσται ἡμῖν;,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 20:18,—,ἰδοὺ,"ἀναβαίνομεν εἰς Ἱεροσόλυμα, καὶ ὁ υἱὸς τοῦ ἀνθρώπου παραδοθήσεται τοῖς ἀρχιερεῦσιν καὶ γραμματεῦσιν, καὶ κατακρινοῦσιν αὐτὸν θανάτῳ",ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 20:30,καὶ,ἰδοὺ,"δύο τυφλοὶ καθήμενοι παρὰ τὴν ὁδὸν ἀκούσαντες ὅτι Ἰησοῦς παράγει, ἔκραξαν λέγοντες· ἐλέησον ἡμᾶς, [κύριε] υἱὸς Δαυίδ.",ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 21:5,εἴπατε τῇ θυγατρὶ Σιών·,ἰδοὺ,ὁ βασιλεύς σου ἔρχεταί σοι        πραῢς καὶ ἐπιβεβηκὼς ἐπὶ ὄνον           καὶ ἐπὶ πῶλον υἱὸν ὑποζυγίου.,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 22:4,πάλιν ἀπέστειλεν ἄλλους δούλους λέγων· εἴπατε τοῖς κεκλημένοις·,ἰδοὺ,"τὸ ἄριστόν μου ἡτοίμακα, οἱ ταῦροί μου καὶ τὰ σιτιστὰ τεθυμένα καὶ πάντα",ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 23:34,Διὰ τοῦτο,ἰδοὺ,ἐγὼ ἀποστέλλω πρὸς ὑμᾶς προφήτας καὶ σοφοὺς καὶ γραμματεῖς·  ἐξ αὐτῶν ἀποκτενεῖτε καὶ,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 23:38,—,ἰδοὺ,ἀφίεται ὑμῖν ὁ οἶκος ὑμῶν ἔρημος.,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 24:23,Τότε ἐάν τις ὑμῖν εἴπῃ·,ἰδοὺ,"ὧδε ὁ χριστός, ἤ· ὧδε, μὴ πιστεύσητε·",ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 24:25,—,ἰδοὺ,προείρηκα ὑμῖν.,ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
NA28,Matthew 24:26,ἐὰν οὖν εἴπωσιν ὑμῖν·,ἰδοὺ,"ἐν τῇ ἐρήμῳ ἐστίν, μὴ ἐξέλθητε· ἰδοὺ ἐν τοῖς ταμείοις, μὴ πιστεύσητε·",ἰδού,Louw Nida 91.13,ειδος,"interjection, verb",—
