Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
σοφία,σοφία,—,—,—,—,feminine,nominative,singular,Matthew 11:19,"ἰδοὺ ἄνθρωπος φάγος καὶ οἰνοπότης, τελωνῶν φίλος καὶ ἁμαρτωλῶν. καὶ ἐδικαιώθη ἡ",ἀπὸ τῶν ἔργων αὐτῆς.
σοφίαν,σοφία,—,—,—,—,feminine,accusative,singular,Matthew 12:42,"καὶ κατακρινεῖ αὐτήν, ὅτι ἦλθεν ἐκ τῶν περάτων τῆς γῆς ἀκοῦσαι τὴν","Σολομῶνος, καὶ ἰδοὺ πλεῖον Σολομῶνος ὧδε."
σοφία,σοφία,—,—,—,—,feminine,nominative,singular,Matthew 13:54,"ἐν τῇ συναγωγῇ αὐτῶν, ὥστε ἐκπλήσσεσθαι αὐτοὺς καὶ λέγειν· πόθεν τούτῳ  ἡ",αὕτη καὶ αἱ δυνάμεις;
σοφία,σοφία,—,—,—,—,feminine,nominative,singular,Mark 6:2,"συναγωγῇ, καὶ πολλοὶ ἀκούοντες ἐξεπλήσσοντο λέγοντες· πόθεν τούτῳ ταῦτα, καὶ τίς ἡ","ἡ δοθεῖσα τούτῳ, καὶ αἱ δυνάμεις τοιαῦται διὰ τῶν χειρῶν αὐτοῦ γινόμεναι;"
σοφίᾳ,σοφία,—,—,—,—,feminine,dative,singular,Luke 2:40,Τὸ δὲ παιδίον ηὔξανεν καὶ ἐκραταιοῦτο  πληρούμενον,", καὶ χάρις θεοῦ ἦν ἐπʼ αὐτό."
σοφίᾳ,σοφία,—,—,—,—,feminine,dative,singular,Luke 2:52,Καὶ Ἰησοῦς προέκοπτεν [ἐν τῇ],καὶ ἡλικίᾳ καὶ χάριτι παρὰ θεῷ καὶ ἀνθρώποις.
σοφία,σοφία,—,—,—,—,feminine,nominative,singular,Luke 7:35,καὶ ἐδικαιώθη ἡ,ἀπὸ πάντων τῶν τέκνων αὐτῆς.
σοφίαν,σοφία,—,—,—,—,feminine,accusative,singular,Luke 11:31,"καὶ κατακρινεῖ αὐτούς, ὅτι ἦλθεν ἐκ τῶν περάτων τῆς γῆς ἀκοῦσαι τὴν","Σολομῶνος, καὶ ἰδοὺ πλεῖον Σολομῶνος ὧδε."
σοφία,σοφία,—,—,—,—,feminine,nominative,singular,Luke 11:49,διὰ τοῦτο καὶ ἡ,"τοῦ θεοῦ εἶπεν· ἀποστελῶ εἰς αὐτοὺς προφήτας καὶ ἀποστόλους, καὶ ἐξ αὐτῶν ἀποκτενοῦσιν καὶ διώξουσιν,"
σοφίαν,σοφία,—,—,—,—,feminine,accusative,singular,Luke 21:15,ἐγὼ γὰρ δώσω ὑμῖν στόμα καὶ,ᾗ οὐ δυνήσονται ἀντιστῆναι ἢ ἀντειπεῖν ἅπαντες οἱ ἀντικείμενοι ὑμῖν.
