Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
μένει,μένω,present,active,indicative,third person,—,—,singular,1 John 2:27,καὶ ὑμεῖς τὸ χρῖσμα ὃ ἐλάβετε ἀπʼ αὐτοῦ,"ἐν ὑμῖν, καὶ οὐ χρείαν ἔχετε ἵνα τις διδάσκῃ ὑμᾶς, ἀλλʼ ὡς τὸ"
μένετε,μένω,present,active,"indicative, imperative",second person,—,—,plural,1 John 2:27,"πάντων, καὶ ἀληθές ἐστιν καὶ οὐκ ἔστιν ψεῦδος, καὶ καθὼς ἐδίδαξεν ὑμᾶς,",ἐν αὐτῷ.
μένετε,μένω,present,active,imperative,second person,—,—,plural,1 John 2:28,"Καὶ νῦν, τεκνία,","ἐν αὐτῷ, ἵνα ἐὰν φανερωθῇ, σχῶμεν παρρησίαν καὶ μὴ αἰσχυνθῶμεν ἀπʼ αὐτοῦ ἐν τῇ παρουσίᾳ αὐτοῦ."
μένων,μένω,present,active,participle,—,masculine,nominative,singular,1 John 3:6,πᾶς ὁ ἐν αὐτῷ,οὐχ ἁμαρτάνει· πᾶς ὁ ἁμαρτάνων οὐχ ἑώρακεν αὐτὸν οὐδὲ ἔγνωκεν αὐτόν.
μένει,μένω,present,active,indicative,third person,—,—,singular,1 John 3:9,"Πᾶς ὁ γεγεννημένος ἐκ τοῦ θεοῦ ἁμαρτίαν οὐ ποιεῖ, ὅτι σπέρμα αὐτοῦ ἐν αὐτῷ",", καὶ οὐ δύναται ἁμαρτάνειν, ὅτι ἐκ τοῦ θεοῦ γεγέννηται."
μένει,μένω,present,active,indicative,third person,—,—,singular,1 John 3:14,"ἡμεῖς οἴδαμεν ὅτι μεταβεβήκαμεν ἐκ τοῦ θανάτου εἰς τὴν ζωήν, ὅτι ἀγαπῶμεν τοὺς ἀδελφούς· ὁ μὴ ἀγαπῶν",ἐν τῷ θανάτῳ.
μένουσαν,μένω,present,active,participle,—,feminine,accusative,singular,1 John 3:15,"ἐστίν, καὶ οἴδατε ὅτι πᾶς ἀνθρωποκτόνος οὐκ ἔχει ζωὴν αἰώνιον ἐν αὐτῷ",.
μένει,μένω,present,active,indicative,third person,—,—,singular,1 John 3:17,"καὶ κλείσῃ τὰ σπλάγχνα αὐτοῦ ἀπʼ αὐτοῦ, πῶς ἡ ἀγάπη τοῦ θεοῦ",ἐν αὐτῷ;
μένει,μένω,present,active,indicative,third person,—,—,singular,1 John 3:24,καὶ ὁ τηρῶν τὰς ἐντολὰς αὐτοῦ ἐν αὐτῷ,"καὶ αὐτὸς ἐν αὐτῷ· καὶ ἐν τούτῳ γινώσκομεν ὅτι μένει ἐν ἡμῖν, ἐκ"
μένει,μένω,present,active,indicative,third person,—,—,singular,1 John 3:24,καὶ ὁ τηρῶν τὰς ἐντολὰς αὐτοῦ ἐν αὐτῷ μένει καὶ αὐτὸς ἐν αὐτῷ· καὶ ἐν τούτῳ γινώσκομεν ὅτι,"ἐν ἡμῖν, ἐκ τοῦ πνεύματος οὗ ἡμῖν ἔδωκεν."
μένει,μένω,present,active,indicative,third person,—,—,singular,1 John 4:12,"θεὸν οὐδεὶς πώποτε τεθέαται. ἐὰν ἀγαπῶμεν ἀλλήλους, ὁ θεὸς ἐν ἡμῖν",καὶ ἡ ἀγάπη αὐτοῦ ἐν ἡμῖν τετελειωμένη ἐστίν.
μένομεν,μένω,present,active,indicative,first person,—,—,plural,1 John 4:13,Ἐν τούτῳ γινώσκομεν ὅτι ἐν αὐτῷ,"καὶ αὐτὸς ἐν ἡμῖν, ὅτι ἐκ τοῦ πνεύματος αὐτοῦ δέδωκεν ἡμῖν."
μένει,μένω,present,active,indicative,third person,—,—,singular,1 John 4:15,"κόσμου.ὃς ἐὰν ὁμολογήσῃ ὅτι Ἰησοῦς  ἐστιν ὁ υἱὸς τοῦ θεοῦ, ὁ θεὸς ἐν αὐτῷ",καὶ αὐτὸς ἐν τῷ θεῷ.
μένων,μένω,present,active,participle,—,masculine,nominative,singular,1 John 4:16,"ἣν ἔχει ὁ θεὸς ἐν ἡμῖν.  Ὁ θεὸς ἀγάπη ἐστίν, καὶ ὁ","ἐν τῇ ἀγάπῃ ἐν τῷ θεῷ μένει, καὶ ὁ θεὸς ἐν αὐτῷ μένει."
μένει,μένω,present,active,indicative,third person,—,—,singular,1 John 4:16,"θεὸς ἀγάπη ἐστίν, καὶ ὁ μένων ἐν τῇ ἀγάπῃ ἐν τῷ θεῷ",", καὶ ὁ θεὸς ἐν αὐτῷ μένει."
μένει,μένω,present,active,indicative,third person,—,—,singular,1 John 4:16,"ἐν τῇ ἀγάπῃ ἐν τῷ θεῷ μένει, καὶ ὁ θεὸς ἐν αὐτῷ",.
μένουσαν,μένω,present,active,participle,—,feminine,accusative,singular,2 John 2,διὰ τὴν ἀλήθειαν τὴν,ἐν ἡμῖν καὶ μεθʼ ἡμῶν ἔσται εἰς τὸν αἰῶνα.
μένων,μένω,present,active,participle,—,masculine,nominative,singular,2 John 9,Πᾶς ὁ προάγων καὶ μὴ,ἐν τῇ διδαχῇ τοῦ Χριστοῦ θεὸν οὐκ ἔχει· ὁ μένων ἐν τῇ διδαχῇ
μένων,μένω,present,active,participle,—,masculine,nominative,singular,2 John 9,Πᾶς ὁ προάγων καὶ μὴ μένων ἐν τῇ διδαχῇ τοῦ Χριστοῦ θεὸν οὐκ ἔχει· ὁ,"ἐν τῇ διδαχῇ, οὗτος καὶ τὸν πατέρα καὶ τὸν υἱὸν ἔχει."
μεῖναι,μένω,aorist,active,infinitive,—,—,—,—,Revelation 17:10,"οἱ πέντε ἔπεσαν, ὁ εἷς ἔστιν, ὁ ἄλλος οὔπω ἦλθεν, καὶ ὅταν ἔλθῃ ὀλίγον αὐτὸν δεῖ",.
