Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Matthew 1:9,"Ὀζίας δὲ ἐγέννησεν τὸν Ἰωαθάμ, Ἰωαθὰμ",δὲ,"ἐγέννησεν τὸν Ἀχάζ, Ἀχὰζ δὲ ἐγέννησεν τὸν Ἑζεκίαν,",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:9,"Ὀζίας δὲ ἐγέννησεν τὸν Ἰωαθάμ, Ἰωαθὰμ δὲ ἐγέννησεν τὸν Ἀχάζ, Ἀχὰζ",δὲ,"ἐγέννησεν τὸν Ἑζεκίαν,",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:10,Ἑζεκίας,δὲ,"ἐγέννησεν τὸν Μανασσῆ, Μανασσῆς δὲ ἐγέννησεν τὸν Ἀμώς, Ἀμὼς δὲ ἐγέννησεν τὸν Ἰωσίαν,",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:10,"Ἑζεκίας δὲ ἐγέννησεν τὸν Μανασσῆ, Μανασσῆς",δὲ,"ἐγέννησεν τὸν Ἀμώς, Ἀμὼς δὲ ἐγέννησεν τὸν Ἰωσίαν,",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:10,"Ἑζεκίας δὲ ἐγέννησεν τὸν Μανασσῆ, Μανασσῆς δὲ ἐγέννησεν τὸν Ἀμώς, Ἀμὼς",δὲ,"ἐγέννησεν τὸν Ἰωσίαν,",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:11,Ἰωσίας,δὲ,ἐγέννησεν  τὸν Ἰεχονίαν καὶ τοὺς ἀδελφοὺς αὐτοῦ ἐπὶ τῆς μετοικεσίας Βαβυλῶνος.,δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:12,Μετὰ,δὲ,"τὴν μετοικεσίαν Βαβυλῶνος Ἰεχονίας ἐγέννησεν τὸν Σαλαθιήλ, Σαλαθιὴλ δὲ ἐγέννησεν τὸν Ζοροβαβέλ,",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:12,"Μετὰ δὲ τὴν μετοικεσίαν Βαβυλῶνος Ἰεχονίας ἐγέννησεν τὸν Σαλαθιήλ, Σαλαθιὴλ",δὲ,"ἐγέννησεν τὸν Ζοροβαβέλ,",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:13,Ζοροβαβὲλ,δὲ,"ἐγέννησεν τὸν Ἀβιούδ, Ἀβιοὺδ δὲ ἐγέννησεν τὸν Ἐλιακίμ, Ἐλιακὶμ δὲ ἐγέννησεν τὸν Ἀζώρ,",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:13,"Ζοροβαβὲλ δὲ ἐγέννησεν τὸν Ἀβιούδ, Ἀβιοὺδ",δὲ,"ἐγέννησεν τὸν Ἐλιακίμ, Ἐλιακὶμ δὲ ἐγέννησεν τὸν Ἀζώρ,",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:13,"Ζοροβαβὲλ δὲ ἐγέννησεν τὸν Ἀβιούδ, Ἀβιοὺδ δὲ ἐγέννησεν τὸν Ἐλιακίμ, Ἐλιακὶμ",δὲ,"ἐγέννησεν τὸν Ἀζώρ,",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:14,Ἀζὼρ,δὲ,"ἐγέννησεν τὸν Σαδώκ, Σαδὼκ δὲ ἐγέννησεν τὸν Ἀχίμ, Ἀχὶμ δὲ ἐγέννησεν τὸν Ἐλιούδ,",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:14,"Ἀζὼρ δὲ ἐγέννησεν τὸν Σαδώκ, Σαδὼκ",δὲ,"ἐγέννησεν τὸν Ἀχίμ, Ἀχὶμ δὲ ἐγέννησεν τὸν Ἐλιούδ,",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:14,"Ἀζὼρ δὲ ἐγέννησεν τὸν Σαδώκ, Σαδὼκ δὲ ἐγέννησεν τὸν Ἀχίμ, Ἀχὶμ",δὲ,"ἐγέννησεν τὸν Ἐλιούδ,",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:15,Ἐλιοὺδ,δὲ,"ἐγέννησεν τὸν Ἐλεάζαρ, Ἐλεάζαρ δὲ ἐγέννησεν τὸν Ματθάν, Ματθὰν δὲ ἐγέννησεν τὸν Ἰακώβ,",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:15,"Ἐλιοὺδ δὲ ἐγέννησεν τὸν Ἐλεάζαρ, Ἐλεάζαρ",δὲ,"ἐγέννησεν τὸν Ματθάν, Ματθὰν δὲ ἐγέννησεν τὸν Ἰακώβ,",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:15,"Ἐλιοὺδ δὲ ἐγέννησεν τὸν Ἐλεάζαρ, Ἐλεάζαρ δὲ ἐγέννησεν τὸν Ματθάν, Ματθὰν",δὲ,"ἐγέννησεν τὸν Ἰακώβ,",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:16,Ἰακὼβ,δὲ,"ἐγέννησεν τὸν Ἰωσὴφ τὸν ἄνδρα Μαρίας, ἐξ ἧς ἐγεννήθη Ἰησοῦς ὁ λεγόμενος Χριστός.",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:18,Τοῦ,δὲ,Ἰησοῦ Χριστοῦ ἡ γένεσις οὕτως ἦν. μνηστευθείσης τῆς μητρὸς αὐτοῦ Μαρίας τῷ Ἰωσήφ,δέ,Louw Nida 89.94,δε,conjunction,—
NA28,Matthew 1:19,Ἰωσὴφ,δὲ,"ὁ ἀνὴρ αὐτῆς, δίκαιος ὢν καὶ μὴ θέλων αὐτὴν δειγματίσαι, ἐβουλήθη λάθρᾳ ἀπολῦσαι αὐτήν.",δέ,Louw Nida 89.94,δε,conjunction,—
NA28,Matthew 1:20,ταῦτα,δὲ,αὐτοῦ ἐνθυμηθέντος ἰδοὺ ἄγγελος κυρίου κατʼ ὄναρ ἐφάνη αὐτῷ λέγων· Ἰωσὴφ υἱὸς Δαυίδ,δέ,Louw Nida 89.94,δε,conjunction,—
NA28,Matthew 1:21,τέξεται,δὲ,"υἱόν, καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰησοῦν· αὐτὸς γὰρ σώσει τὸν λαὸν αὐτοῦ ἀπὸ τῶν ἁμαρτιῶν αὐτῶν.",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:22,τοῦτο,δὲ,ὅλον γέγονεν ἵνα πληρωθῇ τὸ ῥηθὲν ὑπὸ  κυρίου διὰ  τοῦ προφήτου λέγοντος·,δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 1:24,ἐγερθεὶς,δὲ,"ὁ Ἰωσὴφ ἀπὸ τοῦ ὕπνου ἐποίησεν ὡς προσέταξεν αὐτῷ ὁ ἄγγελος κυρίου καὶ παρέλαβεν τὴν γυναῖκα αὐτοῦ,",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 2:1,Τοῦ,δὲ,"Ἰησοῦ γεννηθέντος ἐν Βηθλέεμ τῆς Ἰουδαίας ἐν ἡμέραις Ἡρῴδου τοῦ βασιλέως, ἰδοὺ μάγοι",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 2:3,ἀκούσας,δὲ,"ὁ βασιλεὺς Ἡρῴδης ἐταράχθη καὶ πᾶσα Ἱεροσόλυμα μετʼ αὐτοῦ,",δέ,Louw Nida 89.124,δε,conjunction,—
NA28,Matthew 2:5,οἱ,δὲ,εἶπαν αὐτῷ· ἐν Βηθλέεμ τῆς Ἰουδαίας· οὕτως γὰρ γέγραπται διὰ τοῦ προφήτου·,δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 2:8,καὶ πέμψας αὐτοὺς εἰς Βηθλέεμ εἶπεν· πορευθέντες ἐξετάσατε ἀκριβῶς περὶ τοῦ παιδίου· ἐπὰν,δὲ,"εὕρητε, ἀπαγγείλατέ μοι, ὅπως κἀγὼ ἐλθὼν προσκυνήσω αὐτῷ.",δέ,Louw Nida 89.87,δε,conjunction,—
NA28,Matthew 2:9,Οἱ,δὲ,"ἀκούσαντες τοῦ βασιλέως ἐπορεύθησαν καὶ ἰδοὺ ὁ ἀστήρ, ὃν εἶδον ἐν τῇ ἀνατολῇ",δέ,Louw Nida 89.87,δε,conjunction,—
