Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
δικαιοσύνης,δικαιοσύνη,—,—,—,—,feminine,genitive,singular,2 Corinthians 3:9,"εἰ γὰρ τῇ διακονίᾳ τῆς κατακρίσεως δόξα, πολλῷ μᾶλλον περισσεύει ἡ διακονία τῆς",δόξῃ.
δικαιοσύνη,δικαιοσύνη,—,—,—,—,feminine,nominative,singular,2 Corinthians 5:21,"τὸν μὴ γνόντα ἁμαρτίαν ὑπὲρ ἡμῶν ἁμαρτίαν ἐποίησεν, ἵνα ἡμεῖς γενώμεθα",θεοῦ ἐν αὐτῷ.
δικαιοσύνης,δικαιοσύνη,—,—,—,—,feminine,genitive,singular,2 Corinthians 6:7,"ἐν λόγῳ ἀληθείας, ἐν δυνάμει θεοῦ· διὰ τῶν ὅπλων τῆς","τῶν δεξιῶν καὶ ἀριστερῶν,"
δικαιοσύνῃ,δικαιοσύνη,—,—,—,—,feminine,dative,singular,2 Corinthians 6:14,Μὴ γίνεσθε ἑτεροζυγοῦντες ἀπίστοις·. τίς γὰρ μετοχὴ,"καὶ ἀνομίᾳ, ἢ τίς κοινωνία φωτὶ πρὸς σκότος;"
δικαιοσύνη,δικαιοσύνη,—,—,—,—,feminine,nominative,singular,2 Corinthians 9:9,"καθὼς γέγραπται·        ἐσκόρπισεν, ἔδωκεν τοῖς πένησιν,        ἡ",αὐτοῦ μένει εἰς τὸν αἰῶνα.
δικαιοσύνης,δικαιοσύνη,—,—,—,—,feminine,genitive,singular,2 Corinthians 9:10,βρῶσιν χορηγήσει καὶ πληθυνεῖ τὸν σπόρον ὑμῶν καὶ αὐξήσει τὰ γενήματα τῆς,ὑμῶν.
δικαιοσύνης,δικαιοσύνη,—,—,—,—,feminine,genitive,singular,2 Corinthians 11:15,οὐ μέγα οὖν εἰ καὶ οἱ διάκονοι αὐτοῦ μετασχηματίζονται ὡς διάκονοι,· ὧν τὸ τέλος ἔσται κατὰ τὰ ἔργα αὐτῶν.
δικαιοσύνη,δικαιοσύνη,—,—,—,—,feminine,nominative,singular,Galatians 2:21,Οὐκ ἀθετῶ τὴν χάριν τοῦ θεοῦ· εἰ γὰρ διὰ νόμου,", ἄρα Χριστὸς δωρεὰν ἀπέθανεν."
δικαιοσύνην,δικαιοσύνη,—,—,—,—,feminine,accusative,singular,Galatians 3:6,"Καθὼς Ἀβραὰμ ἐπίστευσεν τῷ θεῷ, καὶ ἐλογίσθη αὐτῷ εἰς",·
δικαιοσύνη,δικαιοσύνη,—,—,—,—,feminine,nominative,singular,Galatians 3:21,"γὰρ ἐδόθη νόμος ὁ δυνάμενος ζῳοποιῆσαι, ὄντως ἐκ νόμου ἂν ἦν ἡ",·
δικαιοσύνης,δικαιοσύνη,—,—,—,—,feminine,genitive,singular,Galatians 5:5,ἡμεῖς γὰρ πνεύματι ἐκ πίστεως ἐλπίδα,ἀπεκδεχόμεθα.
δικαιοσύνῃ,δικαιοσύνη,—,—,—,—,feminine,dative,singular,Ephesians 4:24,καὶ ἐνδύσασθαι τὸν καινὸν ἄνθρωπον τὸν κατὰ θεὸν κτισθέντα ἐν,καὶ ὁσιότητι τῆς ἀληθείας.
δικαιοσύνῃ,δικαιοσύνη,—,—,—,—,feminine,dative,singular,Ephesians 5:9,— ὁ γὰρ καρπὸς τοῦ φωτὸς ἐν πάσῃ ἀγαθωσύνῃ καὶ,καὶ ἀληθείᾳ —
δικαιοσύνης,δικαιοσύνη,—,—,—,—,feminine,genitive,singular,Ephesians 6:14,στῆτε οὖν περιζωσάμενοι τὴν ὀσφὺν ὑμῶν ἐν ἀληθείᾳ καὶ ἐνδυσάμενοι τὸν θώρακα τῆς,*
δικαιοσύνης,δικαιοσύνη,—,—,—,—,feminine,genitive,singular,Philippians 1:11,πεπληρωμένοι καρπὸν,τὸν διὰ Ἰησοῦ Χριστοῦ εἰς δόξαν καὶ ἔπαινον θεοῦ.
δικαιοσύνην,δικαιοσύνη,—,—,—,—,feminine,accusative,singular,Philippians 3:6,"κατὰ ζῆλος διώκων τὴν ἐκκλησίαν, κατὰ",τὴν ἐν νόμῳ γενόμενος ἄμεμπτος.
