Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
ἀλήθεια,ἀλήθεια,—,—,—,—,feminine,nominative,singular,John 14:6,λέγει αὐτῷ [ὁ] Ἰησοῦς· ἐγώ εἰμι ἡ ὁδὸς καὶ ἡ,καὶ ἡ ζωή· οὐδεὶς ἔρχεται πρὸς τὸν πατέρα εἰ μὴ διʼ ἐμοῦ.
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,John 14:17,τὸ πνεῦμα τῆς,", ὃ ὁ κόσμος οὐ δύναται λαβεῖν, ὅτι οὐ θεωρεῖ αὐτὸ οὐδὲ γινώσκει· ὑμεῖς"
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,John 15:26,"Ὅταν  ἔλθῃ ὁ παράκλητος ὃν ἐγὼ πέμψω ὑμῖν παρὰ τοῦ πατρός, τὸ πνεῦμα τῆς","ὃ παρὰ τοῦ πατρὸς ἐκπορεύεται, ἐκεῖνος μαρτυρήσει περὶ ἐμοῦ·"
ἀλήθειαν,ἀλήθεια,—,—,—,—,feminine,accusative,singular,John 16:7,ἀλλʼ ἐγὼ τὴν,"λέγω ὑμῖν, συμφέρει ὑμῖν ἵνα ἐγὼ ἀπέλθω. ἐὰν γὰρ  μὴ ἀπέλθω, ὁ παράκλητος"
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,John 16:13,"ὅταν δὲ ἔλθῃ ἐκεῖνος, τὸ πνεῦμα τῆς",", ὁδηγήσει ὑμᾶς ἐν τῇ ἀληθείᾳ πάσῃ· οὐ γὰρ λαλήσει ἀφʼ ἑαυτοῦ, ἀλλʼ ὅσα"
ἀληθείᾳ,ἀλήθεια,—,—,—,—,feminine,dative,singular,John 16:13,"ὅταν δὲ ἔλθῃ ἐκεῖνος, τὸ πνεῦμα τῆς ἀληθείας, ὁδηγήσει ὑμᾶς ἐν τῇ","πάσῃ· οὐ γὰρ λαλήσει ἀφʼ ἑαυτοῦ, ἀλλʼ ὅσα  ἀκούσει λαλήσει καὶ τὰ ἐρχόμενα ἀναγγελεῖ ὑμῖν."
ἀληθείᾳ,ἀλήθεια,—,—,—,—,feminine,dative,singular,John 17:17,ἁγίασον αὐτοὺς ἐν τῇ,·  ὁ λόγος ὁ σὸς ἀλήθειά ἐστιν.
ἀλήθειά,ἀλήθεια,—,—,—,—,feminine,nominative,singular,John 17:17,ἁγίασον αὐτοὺς ἐν τῇ ἀληθείᾳ·  ὁ λόγος ὁ σὸς,ἐστιν.
ἀληθείᾳ,ἀλήθεια,—,—,—,—,feminine,dative,singular,John 17:19,"καὶ ὑπὲρ αὐτῶν ἐγὼ ἁγιάζω ἐμαυτόν, ἵνα ὦσιν καὶ αὐτοὶ ἡγιασμένοι ἐν",.
ἀληθείᾳ,ἀλήθεια,—,—,—,—,feminine,dative,singular,John 18:37,"τοῦτο γεγέννημαι καὶ εἰς τοῦτο ἐλήλυθα εἰς τὸν κόσμον, ἵνα μαρτυρήσω τῇ",· πᾶς ὁ ὢν ἐκ τῆς ἀληθείας ἀκούει μου τῆς φωνῆς.
ἀληθείας,ἀλήθεια,—,—,—,—,feminine,genitive,singular,John 18:37,"εἰς τὸν κόσμον, ἵνα μαρτυρήσω τῇ ἀληθείᾳ· πᾶς ὁ ὢν ἐκ τῆς",ἀκούει μου τῆς φωνῆς.
ἀλήθεια,ἀλήθεια,—,—,—,—,feminine,nominative,singular,John 18:38,λέγει  αὐτῷ ὁ Πιλᾶτος· τί ἐστιν,;  Καὶ τοῦτο εἰπὼν πάλιν ἐξῆλθεν πρὸς τοὺς Ἰουδαίους καὶ λέγει αὐτοῖς· ἐγὼ οὐδεμίαν εὑρίσκω ἐν αὐτῷ αἰτίαν.
