Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
ἐχούσαις,ἔχω,present,active,participle,—,plural,Mark 13:17,οὐαὶ δὲ ταῖς ἐν γαστρὶ,καὶ ταῖς θηλαζούσαις ἐν ἐκείναις ταῖς ἡμέραις.
ἐχούσαις,ἔχω,present,active,participle,—,plural,Luke 21:23,οὐαὶ  ταῖς ἐν γαστρὶ,καὶ ταῖς θηλαζούσαις ἐν ἐκείναις ταῖς ἡμέραις· ἔσται γὰρ ἀνάγκη μεγάλη ἐπὶ τῆς
ἐχομένῃ,ἔχω,present,"middle, passive",participle,—,singular,Luke 13:33,πλὴν δεῖ με σήμερον καὶ αὔριον καὶ τῇ,"πορεύεσθαι, ὅτι οὐκ ἐνδέχεται προφήτην ἀπολέσθαι ἔξω Ἰερουσαλήμ."
ἐχομένῃ,ἔχω,present,"middle, passive",participle,—,singular,Acts 20:15,"κἀκεῖθεν ἀποπλεύσαντες τῇ ἐπιούσῃ κατηντήσαμεν ἄντικρυς Χίου, τῇ δὲ ἑτέρᾳ παρεβάλομεν εἰς Σάμον, τῇ δὲ",ἤλθομεν εἰς Μίλητον.
ἐχομένῃ,ἔχω,present,"middle, passive",participle,—,singular,Acts 21:26,Τότε ὁ Παῦλος παραλαβὼν τοὺς ἄνδρας τῇ,"ἡμέρᾳ σὺν αὐτοῖς ἁγνισθείς, εἰσῄει εἰς τὸ ἱερὸν διαγγέλλων τὴν ἐκπλήρωσιν τῶν ἡμερῶν"
ἐχομένας,ἔχω,present,"middle, passive",participle,—,plural,Mark 1:38,καὶ λέγει αὐτοῖς· ἄγωμεν ἀλλαχοῦ εἰς τὰς,"κωμοπόλεις, ἵνα καὶ ἐκεῖ κηρύξω· εἰς τοῦτο γὰρ ἐξῆλθον."
ἐχέτω,ἔχω,present,active,imperative,third person,singular,1 Corinthians 7:2,διὰ δὲ τὰς πορνείας ἕκαστος τὴν ἑαυτοῦ γυναῖκα,καὶ ἑκάστη τὸν ἴδιον ἄνδρα ἐχέτω.
ἐχέτω,ἔχω,present,active,imperative,third person,singular,1 Corinthians 7:2,διὰ δὲ τὰς πορνείας ἕκαστος τὴν ἑαυτοῦ γυναῖκα ἐχέτω καὶ ἑκάστη τὸν ἴδιον ἄνδρα,.
ἐχέτω,ἔχω,present,active,imperative,third person,singular,James 1:4,ἡ δὲ ὑπομονὴ ἔργον τέλειον,", ἵνα ἦτε τέλειοι καὶ ὁλόκληροι ἐν μηδενὶ λειπόμενοι."
ἐσχηκότα,ἔχω,perfect,active,participle,—,singular,Mark 5:15,"καὶ ἔρχονται πρὸς τὸν Ἰησοῦν καὶ θεωροῦσιν τὸν δαιμονιζόμενον καθήμενον ἱματισμένον καὶ σωφρονοῦντα, τὸν","τὸν λεγιῶνα, καὶ ἐφοβήθησαν."
