Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Luke 17:8,ἀλλʼ,οὐχὶ,ἐρεῖ αὐτῷ· ἑτοίμασον  τί δειπνήσω καὶ περιζωσάμενος διακόνει μοι ἕως φάγω καὶ πίω,οὐχί,Louw Nida 69.12,ου,particle,"negative, interrogative"
NA28,Luke 17:17,ἀποκριθεὶς δὲ ὁ Ἰησοῦς εἶπεν·,οὐχὶ,οἱ δέκα ἐκαθαρίσθησαν; οἱ δὲ ἐννέα ποῦ;,οὐχί,Louw Nida 69.12,ου,particle,"negative, interrogative"
NA28,Luke 18:30,ὃς,οὐχὶ,μὴ ἀπολάβῃ πολλαπλασίονα ἐν τῷ καιρῷ τούτῳ καὶ ἐν τῷ αἰῶνι τῷ ἐρχομένῳ ζωὴν αἰώνιον.,οὐχί,Louw Nida 69.4,ου,"adverb, particle",negative
NA28,Luke 22:27,"τίς γὰρ μείζων, ὁ ἀνακείμενος ἢ ὁ διακονῶν;",οὐχὶ,ὁ ἀνακείμενος; ἐγὼ δὲ ἐν μέσῳ ὑμῶν εἰμι ὡς ὁ διακονῶν.,οὐχί,Louw Nida 69.12,ου,particle,"negative, interrogative"
NA28,Luke 23:39,Εἷς δὲ τῶν κρεμασθέντων κακούργων ἐβλασφήμει αὐτὸν λέγων·,οὐχὶ,σὺ εἶ ὁ χριστός; σῶσον σεαυτὸν καὶ ἡμᾶς.,οὐχί,Louw Nida 69.12,ου,particle,"negative, interrogative"
NA28,Luke 24:26,—,οὐχὶ,ταῦτα ἔδει παθεῖν τὸν χριστὸν καὶ εἰσελθεῖν εἰς τὴν δόξαν αὐτοῦ;,οὐχί,Louw Nida 69.12,ου,particle,"negative, interrogative"
NA28,Luke 24:32,καὶ εἶπαν πρὸς ἀλλήλους·,οὐχὶ,ἡ καρδία ἡμῶν καιομένη ἦν [ἐν ἡμῖν] ὡς ἐλάλει ἡμῖν ἐν τῇ ὁδῷ,οὐχί,Louw Nida 69.12,ου,particle,"negative, interrogative"
NA28,John 9:9,"ἄλλοι ἔλεγον ὅτι οὗτός ἐστιν, ἄλλοι ἔλεγον·",οὐχί,", ἀλλʼ ὅμοιος αὐτῷ ἐστιν. ἐκεῖνος  ἔλεγεν ὅτι ἐγώ εἰμι.",οὐχί,Louw Nida 69.4,ου,"adverb, particle",negative
NA28,John 11:9,ἀπεκρίθη  Ἰησοῦς·,οὐχὶ,"δώδεκα ὧραί εἰσιν τῆς ἡμέρας; ἐάν τις περιπατῇ ἐν τῇ ἡμέρᾳ, οὐ προσκόπτει",οὐχί,Louw Nida 69.12,ου,particle,"negative, interrogative"
NA28,John 13:10,"τοὺς πόδας νίψασθαι, ἀλλʼ ἔστιν καθαρὸς ὅλος· καὶ ὑμεῖς καθαροί ἐστε, ἀλλʼ",οὐχὶ,πάντες.,οὐχί,Louw Nida 69.4,ου,"adverb, particle",negative
NA28,John 13:11,ᾔδει γὰρ τὸν παραδιδόντα αὐτόν· διὰ τοῦτο εἶπεν ὅτι,οὐχὶ,πάντες καθαροί ἐστε.,οὐχί,Louw Nida 69.4,ου,"adverb, particle",negative
NA28,John 14:22,"Λέγει αὐτῷ Ἰούδας, οὐχ ὁ Ἰσκαριώτης· κύριε, [καὶ] τί γέγονεν ὅτι ἡμῖν μέλλεις ἐμφανίζειν σεαυτὸν καὶ",οὐχὶ,τῷ κόσμῳ;,οὐχί,Louw Nida 69.4,ου,"adverb, particle",negative
NA28,Acts 5:4,—,οὐχὶ,μένον σοὶ ἔμενεν καὶ πραθὲν ἐν τῇ σῇ ἐξουσίᾳ ὑπῆρχεν; τί ὅτι ἔθου,οὐχί,Louw Nida 69.12,ου,particle,"negative, interrogative"
NA28,Acts 7:50,—,οὐχὶ,ἡ χείρ μου ἐποίησεν ταῦτα πάντα;,οὐχί,Louw Nida 69.12,ου,particle,"negative, interrogative"
NA28,Romans 3:27,Ποῦ οὖν ἡ καύχησις; ἐξεκλείσθη. διὰ ποίου νόμου; τῶν ἔργων;,οὐχί,", ἀλλὰ διὰ νόμου πίστεως.",οὐχί,Louw Nida 69.4,ου,"adverb, particle",negative
NA28,Romans 3:29,ἢ Ἰουδαίων ὁ θεὸς μόνον;,οὐχὶ,"καὶ ἐθνῶν; ναὶ καὶ ἐθνῶν,",οὐχί,Louw Nida 69.4,ου,particle,"negative, interrogative"
NA28,Romans 8:32,"ὅς γε τοῦ ἰδίου υἱοῦ οὐκ ἐφείσατο ἀλλʼ ὑπὲρ ἡμῶν πάντων παρέδωκεν αὐτόν, πῶς",οὐχὶ,καὶ σὺν αὐτῷ τὰ πάντα ἡμῖν χαρίσεται;,οὐχί,Louw Nida 69.12,ου,"adverb, particle",negative
NA28,1 Corinthians 1:20,ποῦ σοφός; ποῦ γραμματεύς; ποῦ συζητητὴς τοῦ αἰῶνος τούτου;,οὐχὶ,ἐμώρανεν ὁ θεὸς τὴν σοφίαν τοῦ κόσμου;,οὐχί,Louw Nida 69.12,ου,particle,"negative, interrogative"
