Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
κεφαλῇ,κεφαλή,—,—,—,—,feminine,dative,singular,Matthew 5:36,μήτε ἐν τῇ,"σου ὀμόσῃς, ὅτι οὐ δύνασαι μίαν τρίχα λευκὴν ποιῆσαι ἢ μέλαιναν."
κεφαλὴν,κεφαλή,—,—,—,—,feminine,accusative,singular,Matthew 6:17,σὺ δὲ νηστεύων ἄλειψαί σου τὴν,"καὶ τὸ πρόσωπόν σου νίψαι,"
κεφαλὴν,κεφαλή,—,—,—,—,feminine,accusative,singular,Matthew 8:20,"τοῦ οὐρανοῦ κατασκηνώσεις, ὁ δὲ υἱὸς τοῦ ἀνθρώπου οὐκ ἔχει ποῦ τὴν",κλίνῃ.
κεφαλῆς,κεφαλή,—,—,—,—,feminine,genitive,singular,Matthew 10:30,ὑμῶν δὲ καὶ αἱ τρίχες τῆς,πᾶσαι ἠριθμημέναι εἰσίν.
κεφαλὴν,κεφαλή,—,—,—,—,feminine,accusative,singular,Matthew 14:8,"ἡ δὲ προβιβασθεῖσα ὑπὸ τῆς μητρὸς αὐτῆς · δός μοι, φησίν, ὧδε ἐπὶ πίνακι τὴν",Ἰωάννου τοῦ βαπτιστοῦ.
κεφαλὴ,κεφαλή,—,—,—,—,feminine,nominative,singular,Matthew 14:11,καὶ ἠνέχθη ἡ,"αὐτοῦ ἐπὶ πίνακι καὶ ἐδόθη τῷ κορασίῳ, καὶ ἤνεγκεν τῇ μητρὶ αὐτῆς."
κεφαλὴν,κεφαλή,—,—,—,—,feminine,accusative,singular,Matthew 21:42,"Λέγει αὐτοῖς ὁ Ἰησοῦς· οὐδέποτε ἀνέγνωτε ἐν ταῖς γραφαῖς·        λίθον ὃν ἀπεδοκίμασαν οἱ οἰκοδομοῦντες,           οὗτος ἐγενήθη εἰς",γωνίας        παρὰ κυρίου ἐγένετο αὕτη           καὶ ἔστιν θαυμαστὴ ἐν ὀφθαλμοῖς ἡμῶν;
κεφαλῆς,κεφαλή,—,—,—,—,feminine,genitive,singular,Matthew 26:7,προσῆλθεν αὐτῷ γυνὴ ἔχουσα ἀλάβαστρον μύρου βαρυτίμου καὶ κατέχεεν ἐπὶ τῆς,αὐτοῦ ἀνακειμένου.
κεφαλῆς,κεφαλή,—,—,—,—,feminine,genitive,singular,Matthew 27:29,καὶ πλέξαντες στέφανον ἐξ ἀκανθῶν ἐπέθηκαν ἐπὶ τῆς,"αὐτοῦ καὶ κάλαμον ἐν τῇ δεξιᾷ αὐτοῦ, καὶ γονυπετήσαντες ἔμπροσθεν αὐτοῦ ἐνέπαιξαν αὐτῷ"
κεφαλὴν,κεφαλή,—,—,—,—,feminine,accusative,singular,Matthew 27:30,καὶ ἐμπτύσαντες εἰς αὐτὸν ἔλαβον τὸν κάλαμον καὶ ἔτυπτον εἰς τὴν,αὐτοῦ.
