Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
παιδία,παιδίον,—,—,—,—,neuter,accusative,plural,Mark 10:14,ἰδὼν δὲ ὁ Ἰησοῦς ἠγανάκτησεν καὶ  εἶπεν αὐτοῖς· ἄφετε τὰ,"ἔρχεσθαι πρός με, μὴ κωλύετε αὐτά, τῶν γὰρ τοιούτων ἐστὶν ἡ βασιλεία τοῦ θεοῦ."
παιδίον,παιδίον,—,—,—,—,neuter,nominative,singular,Mark 10:15,"ἀμὴν λέγω ὑμῖν, ὃς ἂν μὴ δέξηται τὴν βασιλείαν τοῦ θεοῦ ὡς",", οὐ μὴ εἰσέλθῃ εἰς αὐτήν."
παιδίον,παιδίον,—,—,—,—,neuter,accusative,singular,Luke 1:59,Καὶ ἐγένετο ἐν τῇ ἡμέρᾳ τῇ ὀγδόῃ ἦλθον περιτεμεῖν τὸ,καὶ ἐκάλουν αὐτὸ ἐπὶ τῷ ὀνόματι τοῦ πατρὸς αὐτοῦ Ζαχαρίαν.
παιδίον,παιδίον,—,—,—,—,neuter,nominative,singular,Luke 1:66,καὶ ἔθεντο πάντες οἱ ἀκούσαντες ἐν τῇ καρδίᾳ αὐτῶν λέγοντες· τί ἄρα τὸ,τοῦτο ἔσται; καὶ γὰρ χεὶρ κυρίου ἦν μετʼ αὐτοῦ.
παιδίον,παιδίον,—,—,—,—,neuter,vocative,singular,Luke 1:76,"Καὶ σὺ δέ,",", προφήτης ὑψίστου κληθήσῃ·           προπορεύσῃ γὰρ ἐνώπιον κυρίου ἑτοιμάσαι ὁδοὺς αὐτοῦ,"
παιδίον,παιδίον,—,—,—,—,neuter,nominative,singular,Luke 1:80,Τὸ δὲ,"ηὔξανεν καὶ ἐκραταιοῦτο πνεύματι, καὶ ἦν ἐν ταῖς ἐρήμοις ἕως ἡμέρας ἀναδείξεως αὐτοῦ πρὸς τὸν Ἰσραήλ."
παιδίου,παιδίον,—,—,—,—,neuter,genitive,singular,Luke 2:17,ἰδόντες δὲ ἐγνώρισαν περὶ τοῦ ῥήματος τοῦ λαληθέντος αὐτοῖς περὶ τοῦ,τούτου.
παιδίον,παιδίον,—,—,—,—,neuter,accusative,singular,Luke 2:27,καὶ ἦλθεν ἐν τῷ πνεύματι εἰς τὸ ἱερόν· καὶ ἐν τῷ εἰσαγαγεῖν τοὺς γονεῖς τὸ,Ἰησοῦν τοῦ ποιῆσαι αὐτοὺς κατὰ τὸ εἰθισμένον τοῦ νόμου περὶ αὐτοῦ
παιδίον,παιδίον,—,—,—,—,neuter,nominative,singular,Luke 2:40,Τὸ δὲ,"ηὔξανεν καὶ ἐκραταιοῦτο  πληρούμενον σοφίᾳ, καὶ χάρις θεοῦ ἦν ἐπʼ αὐτό."
παιδίοις,παιδίον,—,—,—,—,neuter,dative,plural,Luke 7:32,ὅμοιοί εἰσιν,τοῖς ἐν ἀγορᾷ καθημένοις καὶ προσφωνοῦσιν ἀλλήλοις ἃ λέγει·        ηὐλήσαμεν ὑμῖν καὶ οὐκ
παιδίον,παιδίον,—,—,—,—,neuter,accusative,singular,Luke 9:47,ὁ δὲ Ἰησοῦς εἰδὼς τὸν διαλογισμὸν τῆς καρδίας αὐτῶν ἐπιλαβόμενος,ἔστησεν αὐτὸ παρʼ ἑαυτῷ
παιδίον,παιδίον,—,—,—,—,neuter,accusative,singular,Luke 9:48,καὶ εἶπεν αὐτοῖς· ὃς ἐὰν δέξηται τοῦτο τὸ,"ἐπὶ τῷ ὀνόματί μου, ἐμὲ δέχεται· καὶ ὃς ἂν ἐμὲ δέξηται, δέχεται τὸν"
παιδία,παιδίον,—,—,—,—,neuter,nominative,plural,Luke 11:7,κἀκεῖνος ἔσωθεν ἀποκριθεὶς εἴπῃ· μή μοι κόπους πάρεχε· ἤδη ἡ θύρα κέκλεισται καὶ τὰ,μου μετʼ ἐμοῦ εἰς τὴν κοίτην εἰσίν· οὐ δύναμαι ἀναστὰς δοῦναί σοι.
