Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
εἰρήνη,εἰρήνη,—,—,—,—,feminine,nominative,singular,Matthew 10:13,"καὶ ἐὰν μὲν ᾖ ἡ οἰκία ἀξία, ἐλθάτω ἡ","ὑμῶν ἐπʼ αὐτήν, ἐὰν δὲ μὴ ᾖ ἀξία, ἡ εἰρήνη ὑμῶν πρὸς ὑμᾶς ἐπιστραφήτω."
εἰρήνη,εἰρήνη,—,—,—,—,feminine,nominative,singular,Matthew 10:13,"ἐλθάτω ἡ εἰρήνη ὑμῶν ἐπʼ αὐτήν, ἐὰν δὲ μὴ ᾖ ἀξία, ἡ",ὑμῶν πρὸς ὑμᾶς ἐπιστραφήτω.
εἰρήνην,εἰρήνη,—,—,—,—,feminine,accusative,singular,Matthew 10:34,Μὴ νομίσητε ὅτι ἦλθον βαλεῖν,ἐπὶ τὴν γῆν· οὐκ ἦλθον βαλεῖν εἰρήνην ἀλλὰ μάχαιραν.
εἰρήνην,εἰρήνη,—,—,—,—,feminine,accusative,singular,Matthew 10:34,Μὴ νομίσητε ὅτι ἦλθον βαλεῖν εἰρήνην ἐπὶ τὴν γῆν· οὐκ ἦλθον βαλεῖν,ἀλλὰ μάχαιραν.
εἰρήνην,εἰρήνη,—,—,—,—,feminine,accusative,singular,Mark 5:34,"ὁ δὲ εἶπεν αὐτῇ· θυγάτηρ, ἡ πίστις σου σέσωκέν σε· ὕπαγε εἰς",καὶ ἴσθι ὑγιὴς ἀπὸ τῆς μάστιγός σου.
εἰρήνης,εἰρήνη,—,—,—,—,feminine,genitive,singular,Luke 1:79,"ἐπιφᾶναι  τοῖς ἐν σκότει καὶ σκιᾷ θανάτου καθημένοις,           τοῦ κατευθῦναι τοὺς πόδας ἡμῶν εἰς ὁδὸν",.
εἰρήνη,εἰρήνη,—,—,—,—,feminine,nominative,singular,Luke 2:14,δόξα ἐν ὑψίστοις θεῷ           καὶ ἐπὶ γῆς,ἐν ἀνθρώποις εὐδοκίας.
εἰρήνῃ,εἰρήνη,—,—,—,—,feminine,dative,singular,Luke 2:29,"νῦν ἀπολύεις τὸν δοῦλόν σου, δέσποτα,           κατὰ τὸ ῥῆμά σου ἐν",·
εἰρήνην,εἰρήνη,—,—,—,—,feminine,accusative,singular,Luke 7:50,εἶπεν δὲ πρὸς τὴν γυναῖκα·  ἡ πίστις σου σέσωκέν σε· πορεύου εἰς,.
εἰρήνην,εἰρήνη,—,—,—,—,feminine,accusative,singular,Luke 8:48,"ὁ δὲ εἶπεν αὐτῇ·  θυγάτηρ, ἡ πίστις σου σέσωκέν σε· πορεύου εἰς",.
