Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
καρδίᾳ,καρδία,—,—,—,—,feminine,dative,singular,Matthew 5:8,μακάριοι οἱ καθαροὶ τῇ,",        ὅτι αὐτοὶ τὸν θεὸν ὄψονται."
καρδίᾳ,καρδία,—,—,—,—,feminine,dative,singular,Matthew 5:28,ἐγὼ δὲ λέγω ὑμῖν ὅτι πᾶς ὁ βλέπων γυναῖκα πρὸς τὸ ἐπιθυμῆσαι αὐτὴν ἤδη ἐμοίχευσεν αὐτὴν ἐν τῇ,αὐτοῦ.
καρδία,καρδία,—,—,—,—,feminine,nominative,singular,Matthew 6:21,"ὅπου γάρ ἐστιν ὁ θησαυρός σου, ἐκεῖ ἔσται καὶ ἡ",σου.
καρδίαις,καρδία,—,—,—,—,feminine,dative,plural,Matthew 9:4,καὶ ἰδὼν ὁ Ἰησοῦς τὰς ἐνθυμήσεις αὐτῶν εἶπεν· ἱνατί  ἐνθυμεῖσθε πονηρὰ ἐν ταῖς,ὑμῶν;
καρδίᾳ,καρδία,—,—,—,—,feminine,dative,singular,Matthew 11:29,"ἄρατε τὸν ζυγόν μου ἐφʼ ὑμᾶς καὶ μάθετε ἀπʼ ἐμοῦ, ὅτι πραΰς εἰμι καὶ ταπεινὸς τῇ",", καὶ εὑρήσετε ἀνάπαυσιν ταῖς ψυχαῖς ὑμῶν·"
καρδίας,καρδία,—,—,—,—,feminine,genitive,singular,Matthew 12:34,"γεννήματα ἐχιδνῶν, πῶς δύνασθε ἀγαθὰ λαλεῖν πονηροὶ ὄντες; ἐκ γὰρ τοῦ περισσεύματος τῆς",τὸ στόμα λαλεῖ.
καρδίᾳ,καρδία,—,—,—,—,feminine,dative,singular,Matthew 12:40,"ἡμέρας καὶ τρεῖς νύκτας, οὕτως ἔσται  ὁ υἱὸς τοῦ ἀνθρώπου ἐν τῇ",τῆς γῆς τρεῖς ἡμέρας καὶ τρεῖς νύκτας.
καρδία,καρδία,—,—,—,—,feminine,nominative,singular,Matthew 13:15,ἐπαχύνθη γὰρ ἡ,"τοῦ λαοῦ τούτου,           καὶ τοῖς ὠσὶν  βαρέως ἤκουσαν           καὶ τοὺς ὀφθαλμοὺς αὐτῶν ἐκάμμυσαν"
καρδίᾳ,καρδία,—,—,—,—,feminine,dative,singular,Matthew 13:15,"αὐτῶν ἐκάμμυσαν,        μήποτε ἴδωσιν τοῖς ὀφθαλμοῖς           καὶ τοῖς ὠσὶν ἀκούσωσιν           καὶ τῇ",συνῶσιν           καὶ ἐπιστρέψωσιν καὶ ἰάσομαι αὐτούς.
καρδίᾳ,καρδία,—,—,—,—,feminine,dative,singular,Matthew 13:19,παντὸς ἀκούοντος τὸν λόγον τῆς βασιλείας καὶ μὴ συνιέντος ἔρχεται ὁ πονηρὸς καὶ ἁρπάζει τὸ ἐσπαρμένον ἐν τῇ,"αὐτοῦ, οὗτός ἐστιν ὁ παρὰ τὴν ὁδὸν σπαρείς."
καρδία,καρδία,—,—,—,—,feminine,nominative,singular,Matthew 15:8,"ὁ λαὸς οὗτος τοῖς χείλεσίν με τιμᾷ,        ἡ δὲ",αὐτῶν πόρρω ἀπέχει ἀπʼ ἐμοῦ
καρδίας,καρδία,—,—,—,—,feminine,genitive,singular,Matthew 15:18,τὰ δὲ ἐκπορευόμενα ἐκ τοῦ στόματος ἐκ τῆς,"ἐξέρχεται, κἀκεῖνα κοινοῖ τὸν ἄνθρωπον."
καρδίας,καρδία,—,—,—,—,feminine,genitive,singular,Matthew 15:19,ἐκ γὰρ τῆς,"ἐξέρχονται διαλογισμοὶ πονηροί, φόνοι, μοιχεῖαι, πορνεῖαι, κλοπαί, ψευδομαρτυρίαι, βλασφημίαι."
καρδιῶν,καρδία,—,—,—,—,feminine,genitive,plural,Matthew 18:35,"οὕτως καὶ ὁ πατήρ μου ὁ οὐράνιος ποιήσει ὑμῖν, ἐὰν μὴ ἀφῆτε ἕκαστος τῷ ἀδελφῷ αὐτοῦ ἀπὸ τῶν",ὑμῶν.
καρδίᾳ,καρδία,—,—,—,—,feminine,dative,singular,Matthew 22:37,ὁ δὲ ἔφη αὐτῷ· ἀγαπήσεις κύριον τὸν θεόν σου ἐν ὅλῃ τῇ,σου καὶ ἐν ὅλῃ τῇ ψυχῇ σου καὶ ἐν ὅλῃ τῇ διανοίᾳ σου·
καρδίᾳ,καρδία,—,—,—,—,feminine,dative,singular,Matthew 24:48,ἐὰν δὲ εἴπῃ ὁ κακὸς δοῦλος ἐκεῖνος ἐν τῇ,"αὐτοῦ· χρονίζει μου ὁ κύριος,"
καρδίαις,καρδία,—,—,—,—,feminine,dative,plural,Mark 2:6,Ἦσαν δέ τινες τῶν γραμματέων ἐκεῖ καθήμενοι καὶ διαλογιζόμενοι ἐν ταῖς,αὐτῶν·
καρδίαις,καρδία,—,—,—,—,feminine,dative,plural,Mark 2:8,ὅτι οὕτως  διαλογίζονται ἐν ἑαυτοῖς λέγει αὐτοῖς· τί ταῦτα διαλογίζεσθε ἐν ταῖς,ὑμῶν;
καρδίας,καρδία,—,—,—,—,feminine,genitive,singular,Mark 3:5,"καὶ περιβλεψάμενος αὐτοὺς μετʼ ὀργῆς, συλλυπούμενος ἐπὶ τῇ πωρώσει τῆς",αὐτῶν λέγει τῷ ἀνθρώπῳ· ἔκτεινον τὴν χεῖρα . καὶ ἐξέτεινεν καὶ ἀπεκατεστάθη ἡ χεὶρ αὐτοῦ.
καρδία,καρδία,—,—,—,—,feminine,nominative,singular,Mark 6:52,"οὐ γὰρ συνῆκαν ἐπὶ τοῖς ἄρτοις, ἀλλʼ ἦν αὐτῶν ἡ",πεπωρωμένη.
καρδία,καρδία,—,—,—,—,feminine,nominative,singular,Mark 7:6,"ὡς γέγραπται [ὅτι]      οὗτος ὁ λαὸς τοῖς χείλεσίν με τιμᾷ,        ἡ δὲ",αὐτῶν πόρρω ἀπέχει ἀπʼ ἐμοῦ·
καρδίαν,καρδία,—,—,—,—,feminine,accusative,singular,Mark 7:19,ὅτι οὐκ εἰσπορεύεται αὐτοῦ εἰς τὴν,"ἀλλʼ εἰς τὴν κοιλίαν, καὶ εἰς τὸν ἀφεδρῶνα ἐκπορεύεται, καθαρίζων πάντα τὰ βρώματα;"
καρδίας,καρδία,—,—,—,—,feminine,genitive,singular,Mark 7:21,ἔσωθεν γὰρ ἐκ τῆς,"τῶν ἀνθρώπων οἱ διαλογισμοὶ οἱ κακοὶ ἐκπορεύονται, πορνεῖαι, κλοπαί, φόνοι,"
καρδίαν,καρδία,—,—,—,—,feminine,accusative,singular,Mark 8:17,καὶ γνοὺς  λέγει αὐτοῖς· τί διαλογίζεσθε  ὅτι ἄρτους οὐκ ἔχετε; οὔπω νοεῖτε οὐδὲ συνίετε; πεπωρωμένην ἔχετε τὴν,ὑμῶν;
καρδίᾳ,καρδία,—,—,—,—,feminine,dative,singular,Mark 11:23,"τούτῳ· ἄρθητι καὶ βλήθητι εἰς τὴν θάλασσαν, καὶ μὴ διακριθῇ ἐν τῇ","αὐτοῦ ἀλλὰ πιστεύῃ ὅτι ὃ λαλεῖ γίνεται, ἔσται αὐτῷ."
καρδίας,καρδία,—,—,—,—,feminine,genitive,singular,Mark 12:30,καὶ ἀγαπήσεις κύριον τὸν θεόν σου ἐξ ὅλης τῆς,σου καὶ ἐξ ὅλης τῆς ψυχῆς σου καὶ ἐξ ὅλης τῆς διανοίας σου
καρδίας,καρδία,—,—,—,—,feminine,genitive,singular,Mark 12:33,καὶ τὸ ἀγαπᾶν αὐτὸν ἐξ ὅλης τῆς,καὶ ἐξ ὅλης τῆς συνέσεως καὶ ἐξ ὅλης τῆς ἰσχύος καὶ τὸ ἀγαπᾶν
