Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
λεγόμενος,λέγω,present,passive,participle,—,masculine,nominative,singular,Matthew 1:16,"Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰωσὴφ τὸν ἄνδρα Μαρίας, ἐξ ἧς ἐγεννήθη Ἰησοῦς ὁ",Χριστός.
λέγων,λέγω,present,active,participle,—,masculine,nominative,singular,Matthew 1:20,ταῦτα δὲ αὐτοῦ ἐνθυμηθέντος ἰδοὺ ἄγγελος κυρίου κατʼ ὄναρ ἐφάνη αὐτῷ,"· Ἰωσὴφ υἱὸς Δαυίδ, μὴ φοβηθῇς παραλαβεῖν Μαρίαν τὴν γυναῖκά σου· τὸ γὰρ ἐν"
λέγοντος,λέγω,present,active,participle,—,"masculine, neuter",genitive,singular,Matthew 1:22,τοῦτο δὲ ὅλον γέγονεν ἵνα πληρωθῇ τὸ ῥηθὲν ὑπὸ  κυρίου διὰ  τοῦ προφήτου,·
λέγοντες,λέγω,present,active,participle,—,masculine,nominative,plural,Matthew 2:2,—,· ποῦ ἐστιν ὁ τεχθεὶς βασιλεὺς τῶν Ἰουδαίων; εἴδομεν γὰρ αὐτοῦ τὸν ἀστέρα ἐν
λέγων,λέγω,present,active,participle,—,masculine,nominative,singular,Matthew 2:13,Ἀναχωρησάντων δὲ αὐτῶν  ἰδοὺ ἄγγελος κυρίου φαίνεται κατʼ ὄναρ τῷ Ἰωσὴφ,· ἐγερθεὶς παράλαβε τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ καὶ φεῦγε εἰς Αἴγυπτον καὶ
λέγοντος,λέγω,present,active,participle,—,"masculine, neuter",genitive,singular,Matthew 2:15,καὶ ἦν ἐκεῖ ἕως τῆς τελευτῆς Ἡρῴδου· ἵνα πληρωθῇ τὸ ῥηθὲν ὑπὸ κυρίου διὰ τοῦ προφήτου,·        ἐξ Αἰγύπτου ἐκάλεσα τὸν υἱόν μου.
λέγοντος,λέγω,present,active,participle,—,"masculine, neuter",genitive,singular,Matthew 2:17,τότε ἐπληρώθη τὸ ῥηθὲν  διὰ Ἰερεμίου τοῦ προφήτου,·
λέγων,λέγω,present,active,participle,—,masculine,nominative,singular,Matthew 2:20,—,· ἐγερθεὶς παράλαβε τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ καὶ πορεύου εἰς γῆν Ἰσραήλ
λεγομένην,λέγω,present,passive,participle,—,feminine,accusative,singular,Matthew 2:23,καὶ ἐλθὼν κατῴκησεν εἰς πόλιν,Ναζαρέτ· ὅπως πληρωθῇ τὸ ῥηθὲν διὰ τῶν προφητῶν ὅτι Ναζωραῖος κληθήσεται.
λέγων,λέγω,present,active,participle,—,masculine,nominative,singular,Matthew 3:2,[καὶ],· μετανοεῖτε· ἤγγικεν γὰρ ἡ βασιλεία τῶν οὐρανῶν.
λέγοντος,λέγω,present,active,participle,—,masculine,genitive,singular,Matthew 3:3,οὗτος γάρ ἐστιν ὁ ῥηθεὶς διὰ Ἠσαΐου τοῦ προφήτου,"·        φωνὴ βοῶντος ἐν τῇ ἐρήμῳ·        ἑτοιμάσατε τὴν ὁδὸν κυρίου,           εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ."
λέγειν,λέγω,present,active,infinitive,—,—,—,—,Matthew 3:9,καὶ μὴ δόξητε,ἐν ἑαυτοῖς· πατέρα ἔχομεν τὸν Ἀβραάμ. λέγω γὰρ ὑμῖν ὅτι δύναται ὁ θεὸς
λέγω,λέγω,present,active,indicative,first person,—,—,singular,Matthew 3:9,καὶ μὴ δόξητε λέγειν ἐν ἑαυτοῖς· πατέρα ἔχομεν τὸν Ἀβραάμ.,γὰρ ὑμῖν ὅτι δύναται ὁ θεὸς ἐκ τῶν λίθων τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ.
λέγων,λέγω,present,active,participle,—,masculine,nominative,singular,Matthew 3:14,ὁ δὲ Ἰωάννης διεκώλυεν αὐτὸν,"· ἐγὼ χρείαν ἔχω ὑπὸ σοῦ βαπτισθῆναι, καὶ σὺ ἔρχῃ πρός με;"
λέγουσα,λέγω,present,active,participle,—,feminine,nominative,singular,Matthew 3:17,καὶ ἰδοὺ φωνὴ ἐκ τῶν οὐρανῶν,"·  οὗτός ἐστιν ὁ υἱός μου ὁ ἀγαπητός, ἐν ᾧ εὐδόκησα."
λέγει,λέγω,present,active,indicative,third person,—,—,singular,Matthew 4:6,καὶ,"αὐτῷ· εἰ υἱὸς εἶ τοῦ θεοῦ, βάλε σεαυτὸν  κάτω· γέγραπται γὰρ ὅτι        τοῖς"
λέγει,λέγω,present,active,indicative,third person,—,—,singular,Matthew 4:10,τότε,"αὐτῷ ὁ Ἰησοῦς· ὕπαγε , σατανᾶ· γέγραπται γάρ· κύριον τὸν θεόν σου προσκυνήσεις καὶ αὐτῷ μόνῳ λατρεύσεις."
λέγοντος,λέγω,present,active,participle,—,"masculine, neuter",genitive,singular,Matthew 4:14,ἵνα πληρωθῇ τὸ ῥηθὲν διὰ Ἠσαΐου τοῦ προφήτου,·
λέγειν,λέγω,present,active,infinitive,—,—,—,—,Matthew 4:17,Ἀπὸ τότε ἤρξατο ὁ Ἰησοῦς κηρύσσειν καὶ,· μετανοεῖτε· ἤγγικεν γὰρ ἡ βασιλεία τῶν οὐρανῶν.
λεγόμενον,λέγω,present,passive,participle,—,masculine,accusative,singular,Matthew 4:18,"Περιπατῶν δὲ παρὰ τὴν θάλασσαν τῆς Γαλιλαίας εἶδεν δύο ἀδελφούς, Σίμωνα τὸν","Πέτρον καὶ Ἀνδρέαν τὸν ἀδελφὸν αὐτοῦ, βάλλοντας ἀμφίβληστρον εἰς τὴν θάλασσαν· ἦσαν γὰρ ἁλιεῖς."
λέγει,λέγω,present,active,indicative,third person,—,—,singular,Matthew 4:19,καὶ,"αὐτοῖς· δεῦτε ὀπίσω μου, καὶ ποιήσω ὑμᾶς  ἁλιεῖς ἀνθρώπων."
λέγων,λέγω,present,active,participle,—,masculine,nominative,singular,Matthew 5:2,καὶ ἀνοίξας τὸ στόμα αὐτοῦ ἐδίδασκεν αὐτοὺς,·
λέγω,λέγω,present,active,indicative,first person,—,—,singular,Matthew 5:18,ἀμὴν γὰρ,"ὑμῖν· ἕως ἂν παρέλθῃ ὁ οὐρανὸς καὶ ἡ γῆ, ἰῶτα ἓν ἢ μία"
Λέγω,λέγω,present,active,indicative,first person,—,—,singular,Matthew 5:20,—,γὰρ ὑμῖν ὅτι ἐὰν μὴ περισσεύσῃ ὑμῶν ἡ δικαιοσύνη πλεῖον τῶν γραμματέων καὶ
λέγω,λέγω,present,active,indicative,first person,—,—,singular,Matthew 5:22,ἐγὼ δὲ,ὑμῖν ὅτι πᾶς ὁ ὀργιζόμενος τῷ ἀδελφῷ αὐτοῦ  ἔνοχος ἔσται τῇ κρίσει· ὃς
λέγω,λέγω,present,active,indicative,first person,—,—,singular,Matthew 5:26,ἀμὴν,"σοι, οὐ μὴ ἐξέλθῃς ἐκεῖθεν, ἕως ἂν ἀποδῷς τὸν ἔσχατον κοδράντην."
λέγω,λέγω,present,active,indicative,first person,—,—,singular,Matthew 5:28,ἐγὼ δὲ,ὑμῖν ὅτι πᾶς ὁ βλέπων γυναῖκα πρὸς τὸ ἐπιθυμῆσαι αὐτὴν ἤδη ἐμοίχευσεν αὐτὴν ἐν τῇ καρδίᾳ αὐτοῦ.
λέγω,λέγω,present,active,indicative,first person,—,—,singular,Matthew 5:32,ἐγὼ δὲ,ὑμῖν ὅτι πᾶς ὁ ἀπολύων τὴν γυναῖκα αὐτοῦ παρεκτὸς λόγου πορνείας ποιεῖ αὐτὴν
λέγω,λέγω,present,active,indicative,first person,—,—,singular,Matthew 5:34,ἐγὼ δὲ,"ὑμῖν μὴ ὀμόσαι ὅλως· μήτε ἐν τῷ οὐρανῷ, ὅτι θρόνος ἐστὶν τοῦ θεοῦ,"
λέγω,λέγω,present,active,indicative,first person,—,—,singular,Matthew 5:39,ἐγὼ δὲ,ὑμῖν μὴ ἀντιστῆναι τῷ πονηρῷ· ἀλλʼ ὅστις σε ῥαπίζει εἰς τὴν δεξιὰν σιαγόνα
λέγω,λέγω,present,active,indicative,first person,—,—,singular,Matthew 5:44,ἐγὼ δὲ,"ὑμῖν· ἀγαπᾶτε τοὺς ἐχθροὺς ὑμῶν  καὶ προσεύχεσθε ὑπὲρ τῶν διωκόντων ὑμᾶς,"
λέγω,λέγω,present,active,indicative,first person,—,—,singular,Matthew 6:2,"ταῖς συναγωγαῖς καὶ ἐν ταῖς ῥύμαις, ὅπως δοξασθῶσιν ὑπὸ τῶν ἀνθρώπων· ἀμὴν","ὑμῖν, ἀπέχουσιν τὸν μισθὸν αὐτῶν."
λέγω,λέγω,present,active,indicative,first person,—,—,singular,Matthew 6:5,"ἐν ταῖς γωνίαις τῶν πλατειῶν ἑστῶτες προσεύχεσθαι, ὅπως  φανῶσιν τοῖς ἀνθρώποις· ἀμὴν","ὑμῖν,  ἀπέχουσιν τὸν μισθὸν αὐτῶν."
