Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,John 8:19,ἔλεγον οὖν αὐτῷ· ποῦ ἐστιν ὁ πατήρ σου;  ἀπεκρίθη  Ἰησοῦς·,οὔτε,"ἐμὲ οἴδατε οὔτε τὸν πατέρα μου· εἰ ἐμὲ ᾔδειτε, καὶ τὸν πατέρα μου ἂν ᾔδειτε.",οὔτε,Louw Nida 69.9,"ου, τε
","conjunction, particle",negative
NA28,John 8:19,ἔλεγον οὖν αὐτῷ· ποῦ ἐστιν ὁ πατήρ σου;  ἀπεκρίθη  Ἰησοῦς· οὔτε ἐμὲ οἴδατε,οὔτε,"τὸν πατέρα μου· εἰ ἐμὲ ᾔδειτε, καὶ τὸν πατέρα μου ἂν ᾔδειτε.",οὔτε,Louw Nida 69.9,"ου, τε
","conjunction, particle",negative
NA28,John 9:3,ἀπεκρίθη Ἰησοῦς·,οὔτε,"οὗτος ἥμαρτεν οὔτε οἱ γονεῖς αὐτοῦ, ἀλλʼ ἵνα φανερωθῇ τὰ ἔργα τοῦ θεοῦ ἐν αὐτῷ.",οὔτε,Louw Nida 69.9,"ου, τε
","conjunction, particle",negative
NA28,John 9:3,ἀπεκρίθη Ἰησοῦς· οὔτε οὗτος ἥμαρτεν,οὔτε,"οἱ γονεῖς αὐτοῦ, ἀλλʼ ἵνα φανερωθῇ τὰ ἔργα τοῦ θεοῦ ἐν αὐτῷ.",οὔτε,Louw Nida 69.9,"ου, τε
","conjunction, particle",negative
NA28,Acts 2:31,προϊδὼν ἐλάλησεν περὶ τῆς ἀναστάσεως τοῦ Χριστοῦ ὅτι,οὔτε,ἐγκατελείφθη  εἰς ᾅδην οὔτε ἡ σὰρξ αὐτοῦ εἶδεν διαφθοράν.,οὔτε,Louw Nida 69.9,"ου, τε
","conjunction, particle",negative
NA28,Acts 2:31,προϊδὼν ἐλάλησεν περὶ τῆς ἀναστάσεως τοῦ Χριστοῦ ὅτι οὔτε ἐγκατελείφθη  εἰς ᾅδην,οὔτε,ἡ σὰρξ αὐτοῦ εἶδεν διαφθοράν.,οὔτε,Louw Nida 69.9,"ου, τε
","conjunction, particle",negative
NA28,Acts 15:10,νῦν οὖν τί πειράζετε τὸν θεὸν ἐπιθεῖναι ζυγὸν ἐπὶ τὸν τράχηλον τῶν μαθητῶν ὃν,οὔτε,οἱ πατέρες ἡμῶν οὔτε ἡμεῖς ἰσχύσαμεν βαστάσαι;,οὔτε,Louw Nida 69.9,"ου, τε
","conjunction, particle",negative
NA28,Acts 15:10,νῦν οὖν τί πειράζετε τὸν θεὸν ἐπιθεῖναι ζυγὸν ἐπὶ τὸν τράχηλον τῶν μαθητῶν ὃν οὔτε οἱ πατέρες ἡμῶν,οὔτε,ἡμεῖς ἰσχύσαμεν βαστάσαι;,οὔτε,Louw Nida 69.9,"ου, τε
","conjunction, particle",negative
NA28,Acts 19:37,ἠγάγετε γὰρ τοὺς ἄνδρας τούτους,οὔτε,ἱεροσύλους οὔτε βλασφημοῦντας τὴν θεὸν ἡμῶν.,οὔτε,Louw Nida 69.9,"ου, τε
","conjunction, particle",negative
NA28,Acts 19:37,ἠγάγετε γὰρ τοὺς ἄνδρας τούτους  οὔτε ἱεροσύλους,οὔτε,βλασφημοῦντας τὴν θεὸν ἡμῶν.,οὔτε,Louw Nida 69.9,"ου, τε
","conjunction, particle",negative
NA28,Acts 24:12,καὶ,οὔτε,ἐν τῷ ἱερῷ εὗρόν με πρός τινα διαλεγόμενον ἢ ἐπίστασιν ποιοῦντα ὄχλου οὔτε,οὔτε,Louw Nida 69.9,"ου, τε
","conjunction, particle",negative
