Resource,Reference,Previous Context,Result,Next Context,Lemma (Greek),Louw-Nida,Root,Part of Speech,Adverb/particle Type (Logos Greek)
NA28,Luke 6:4,"προθέσεως λαβὼν ἔφαγεν καὶ ἔδωκεν  τοῖς μετʼ αὐτοῦ, οὓς οὐκ ἔξεστιν φαγεῖν",εἰ,μὴ μόνους τοὺς ἱερεῖς;,εἰ,Louw Nida 89.131,ει,conjunction,—
NA28,Luke 6:7,παρετηροῦντο δὲ αὐτὸν οἱ γραμματεῖς καὶ οἱ Φαρισαῖοι,εἰ,"ἐν τῷ σαββάτῳ θεραπεύει, ἵνα εὕρωσιν κατηγορεῖν  αὐτοῦ.",εἰ,Louw Nida 90.26,ει,particle,interrogative
NA28,Luke 6:9,εἶπεν δὲ ὁ Ἰησοῦς πρὸς αὐτούς· ἐπερωτῶ ὑμᾶς,εἰ,"ἔξεστιν τῷ σαββάτῳ ἀγαθοποιῆσαι ἢ κακοποιῆσαι, ψυχὴν σῶσαι ἢ ἀπολέσαι;",εἰ,Louw Nida 90.26,ει,particle,interrogative
NA28,Luke 6:32,καὶ,εἰ,"ἀγαπᾶτε τοὺς ἀγαπῶντας ὑμᾶς, ποία ὑμῖν χάρις ἐστίν; καὶ γὰρ οἱ ἁμαρτωλοὶ  τοὺς ἀγαπῶντας αὐτοὺς ἀγαπῶσιν.",εἰ,Louw Nida 89.65,ει,conjunction,—
NA28,Luke 7:39,ἰδὼν δὲ ὁ Φαρισαῖος ὁ καλέσας αὐτὸν εἶπεν ἐν ἑαυτῷ λέγων· οὗτος,εἰ,"ἦν  προφήτης, ἐγίνωσκεν ἂν τίς καὶ ποταπὴ ἡ γυνὴ ἥτις ἅπτεται αὐτοῦ, ὅτι ἁμαρτωλός ἐστιν.",εἰ,Louw Nida 89.65,ει,conjunction,—
NA28,Luke 8:51,ἐλθὼν δὲ εἰς τὴν οἰκίαν οὐκ ἀφῆκεν εἰσελθεῖν τινα σὺν αὐτῷ,εἰ,μὴ Πέτρον καὶ Ἰωάννην καὶ Ἰάκωβον καὶ τὸν πατέρα τῆς παιδὸς καὶ τὴν μητέρα.,εἰ,Louw Nida 89.131,ει,conjunction,—
NA28,Luke 9:13,"δὲ εἶπαν· οὐκ εἰσὶν ἡμῖν πλεῖον ἢ ἄρτοι πέντε καὶ ἰχθύες δύο,",εἰ,μήτι πορευθέντες ἡμεῖς ἀγοράσωμεν εἰς πάντα τὸν λαὸν τοῦτον βρώματα.,εἰ,Louw Nida 89.65,ει,conjunction,—
NA28,Luke 9:23,Ἔλεγεν δὲ πρὸς πάντας·,εἴ,"τις θέλει ὀπίσω μου ἔρχεσθαι, ἀρνησάσθω ἑαυτὸν καὶ ἀράτω τὸν σταυρὸν αὐτοῦ καθʼ ἡμέραν καὶ ἀκολουθείτω μοι.",εἰ,Louw Nida 89.65,ει,conjunction,—
NA28,Luke 10:6,"καὶ ἐὰν ἐκεῖ ᾖ υἱὸς εἰρήνης, ἐπαναπαήσεται ἐπʼ αὐτὸν ἡ εἰρήνη ὑμῶν·",εἰ,"δὲ μή γε, ἐφʼ ὑμᾶς ἀνακάμψει.",εἰ,Louw Nida 89.65,ει,conjunction,—
NA28,Luke 10:13,"Οὐαί σοι, Χοραζίν, οὐαί σοι, Βηθσαϊδά· ὅτι",εἰ,"ἐν Τύρῳ καὶ Σιδῶνι ἐγενήθησαν αἱ δυνάμεις αἱ γενόμεναι ἐν ὑμῖν, πάλαι ἂν",εἰ,Louw Nida 89.65,ει,conjunction,—
