Result,Lemma (Greek),Tense (Logos Greek),Voice (Logos Greek),Mood (Logos Greek),Person (Logos Greek),Gender (Logos Greek),Case (Logos Greek),Number (Logos Greek),Reference,Previous Context,Next Context
σώσει,σῴζω,future,active,indicative,third person,—,—,singular,Matthew 1:21,"τέξεται δὲ υἱόν, καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰησοῦν· αὐτὸς γὰρ",τὸν λαὸν αὐτοῦ ἀπὸ τῶν ἁμαρτιῶν αὐτῶν.
σῶσον,σῴζω,aorist,active,imperative,second person,—,—,singular,Matthew 8:25,"καὶ προσελθόντες  ἤγειραν αὐτὸν λέγοντες· κύριε,",", ἀπολλύμεθα."
σωθήσομαι,σῴζω,future,passive,indicative,first person,—,—,singular,Matthew 9:21,ἔλεγεν γὰρ ἐν ἑαυτῇ· ἐὰν μόνον ἅψωμαι τοῦ ἱματίου αὐτοῦ,.
σέσωκέν,σῴζω,perfect,active,indicative,third person,—,—,singular,Matthew 9:22,"ὁ δὲ Ἰησοῦς στραφεὶς καὶ ἰδὼν αὐτὴν εἶπεν· θάρσει, θύγατερ· ἡ πίστις σου",σε. καὶ ἐσώθη ἡ γυνὴ ἀπὸ τῆς ὥρας ἐκείνης.
ἐσώθη,σῴζω,aorist,passive,indicative,third person,—,—,singular,Matthew 9:22,"ὁ δὲ Ἰησοῦς στραφεὶς καὶ ἰδὼν αὐτὴν εἶπεν· θάρσει, θύγατερ· ἡ πίστις σου σέσωκέν σε. καὶ",ἡ γυνὴ ἀπὸ τῆς ὥρας ἐκείνης.
σωθήσεται,σῴζω,future,passive,indicative,third person,—,—,singular,Matthew 10:22,καὶ ἔσεσθε μισούμενοι ὑπὸ πάντων διὰ τὸ ὄνομά μου· ὁ δὲ ὑπομείνας εἰς τέλος οὗτος,.
σῶσόν,σῴζω,aorist,active,imperative,second person,—,—,singular,Matthew 14:30,"βλέπων δὲ τὸν ἄνεμον [ἰσχυρὸν] ἐφοβήθη, καὶ ἀρξάμενος καταποντίζεσθαι ἔκραξεν λέγων· κύριε,",με.
σῶσαι,σῴζω,aorist,active,infinitive,—,—,—,—,Matthew 16:25,ὃς γὰρ ἐὰν θέλῃ τὴν ψυχὴν αὐτοῦ,ἀπολέσει αὐτήν· ὃς δʼ ἂν ἀπολέσῃ τὴν ψυχὴν αὐτοῦ ἕνεκεν ἐμοῦ εὑρήσει αὐτήν.
σωθῆναι,σῴζω,aorist,passive,infinitive,—,—,—,—,Matthew 19:25,ἀκούσαντες δὲ οἱ μαθηταὶ  ἐξεπλήσσοντο  σφόδρα λέγοντες· τίς ἄρα δύναται,;
σωθήσεται,σῴζω,future,passive,indicative,third person,—,—,singular,Matthew 24:13,ὁ δὲ ὑπομείνας εἰς τέλος οὗτος,.
ἐσώθη,σῴζω,aorist,passive,indicative,third person,—,—,singular,Matthew 24:22,"καὶ εἰ μὴ ἐκολοβώθησαν αἱ ἡμέραι ἐκεῖναι, οὐκ ἂν",πᾶσα σάρξ· διὰ δὲ τοὺς ἐκλεκτοὺς κολοβωθήσονται αἱ ἡμέραι ἐκεῖναι.
σῶσον,σῴζω,aorist,active,imperative,second person,—,—,singular,Matthew 27:40,"καὶ λέγοντες· ὁ καταλύων τὸν ναὸν καὶ ἐν τρισὶν ἡμέραις οἰκοδομῶν,","σεαυτόν, εἰ υἱὸς εἶ τοῦ θεοῦ, [καὶ] κατάβηθι ἀπὸ τοῦ σταυροῦ."
ἔσωσεν,σῴζω,aorist,active,indicative,third person,—,—,singular,Matthew 27:42,ἄλλους,", ἑαυτὸν οὐ δύναται σῶσαι*· βασιλεὺς Ἰσραήλ ἐστιν, καταβάτω νῦν ἀπὸ τοῦ σταυροῦ καὶ πιστεύσομεν ἐπʼ αὐτόν."
σῶσαι,σῴζω,aorist,active,infinitive,—,—,—,—,Matthew 27:42,"ἄλλους ἔσωσεν, ἑαυτὸν οὐ δύναται","*· βασιλεὺς Ἰσραήλ ἐστιν, καταβάτω νῦν ἀπὸ τοῦ σταυροῦ καὶ πιστεύσομεν ἐπʼ αὐτόν."
σώσων,σῴζω,future,active,participle,—,masculine,nominative,singular,Matthew 27:49,οἱ δὲ λοιποὶ ἔλεγον· ἄφες ἴδωμεν εἰ ἔρχεται Ἠλίας,αὐτόν.
σῶσαι,σῴζω,aorist,active,infinitive,—,—,—,—,Mark 3:4,"καὶ λέγει αὐτοῖς· ἔξεστιν τοῖς σάββασιν ἀγαθὸν ποιῆσαι ἢ κακοποιῆσαι, ψυχὴν",ἢ ἀποκτεῖναι; οἱ δὲ ἐσιώπων.
